,BMI,Western diet,Sedentary time,Physical activity time,Paternal education,Household income,Neighborhood SES index,Maternal BMI,Maternal Western diet,Maternal physical activity,Maternal smoking,Maternal shift work,Maternal pre-pregnancy BMI,Birth weight,Gestational week,Born by cesarean section,Maternal pregnancy complication,Maternal excess gestational weight gain
BMI,1,-0.02064764,0.054798055,0.013713052,-0.038904413,-0.034286015,-0.053483781,0.259843076,0.030744542,0.003277449,0.038825158,0.006481336,0.239451073,0.027757557,0.018082632,0.030307382,0.038794766,0.116265487
Western diet,-0.02064764,1,0.106375957,0.119611638,-0.0867867,-0.034981119,-0.073404085,0.054260829,0.249513539,-0.010467858,0.020824693,0.039531821,0.028024795,0.004231675,0.00742829,0.002042101,-0.000943249,-0.005150931
Sedentary time,0.054798055,0.106375957,1,0.19457407,-0.042664161,-0.0078374,-0.022256267,0.060323953,0.032401579,-0.019058603,0.048003802,0.080538181,0.018366746,-0.000430401,0.018741745,0.018385354,0.013961051,0.02718059
Physical activity time,0.013713052,0.119611638,0.19457407,1,-0.026141666,0.018833953,-0.024406977,-0.015445236,0.003315145,0.113200895,0.051935717,0.065833066,-0.036157866,0.020688836,0.020459279,-0.018217812,-0.020071613,-0.00157559
Paternal education,-0.038904413,-0.0867867,-0.042664161,-0.026141666,1,0.281875283,0.275765402,-0.10287036,-0.122289037,0.055672705,-0.064377585,-0.016387116,-0.06581237,-0.010620023,-0.005652881,-0.009082802,-0.013883656,-0.00992674
Household income,-0.034286015,-0.034981119,-0.0078374,0.018833953,0.281875283,1,0.305398732,-0.102040218,-0.140464238,0.067963681,-0.004018644,-0.020501682,-0.079673634,0.008237178,0.010981961,0.003125691,-0.016207036,-0.003281384
Neighborhood SES index,-0.053483781,-0.073404085,-0.022256267,-0.024406977,0.275765402,0.305398732,1,-0.119597407,-0.194543627,0.072764155,0.021871118,-0.028263997,-0.081351019,0.000520985,0.008334532,0.013252201,-0.02695067,-0.008199987
Maternal BMI,0.259843076,0.054260829,0.060323953,-0.015445236,-0.10287036,-0.102040218,-0.119597407,1,0.11217972,-0.117647303,0.030061113,0.077905328,0.83602906,0.039819236,0.014384119,0.1115317,0.119214855,0.274222255
Maternal Western diet,0.030744542,0.249513539,0.032401579,0.003315145,-0.122289037,-0.140464238,-0.194543627,0.11217972,1,-0.11228823,-0.03545116,0.028327377,0.058037528,0.014471138,0.005251164,-0.006934485,0.022513514,0.002479397
Maternal physical activity,0.003277449,-0.010467858,-0.019058603,0.113200895,0.055672705,0.067963681,0.072764155,-0.117647303,-0.11228823,1,0.021332391,0.048579691,-0.070292874,-0.002058853,-0.002642265,-0.00924632,-0.007172611,0.002436019
Maternal smoking,0.038825158,0.020824693,0.048003802,0.051935717,-0.064377585,-0.004018644,0.021871118,0.030061113,-0.03545116,0.021332391,1,0.068506854,0.029444427,-0.01074175,-0.001724018,0.016076245,-0.001945482,0.075575282
Maternal shift work,0.006481336,0.039531821,0.080538181,0.065833066,-0.016387116,-0.020501682,-0.028263997,0.077905328,0.028327377,0.048579691,0.068506854,1,0.055614157,-0.000468784,0.004632933,0.001804565,0.012907914,0.034020346
Maternal pre-pregnancy BMI,0.239451073,0.028024795,0.018366746,-0.036157866,-0.06581237,-0.079673634,-0.081351019,0.83602906,0.058037528,-0.070292874,0.029444427,0.055614157,1,0.044286949,0.009808256,0.105997549,0.097233169,0.214503205
Birth weight,0.027757557,0.004231675,-0.000430401,0.020688836,-0.010620023,0.008237178,0.000520985,0.039819236,0.014471138,-0.002058853,-0.01074175,-0.000468784,0.044286949,1,0.330605982,-0.062931678,-0.055618487,0.074823545
Gestational week,0.018082632,0.00742829,0.018741745,0.020459279,-0.005652881,0.010981961,0.008334532,0.014384119,0.005251164,-0.002642265,-0.001724018,0.004632933,0.009808256,0.330605982,1,-0.025972268,-0.04561966,0.07153841
Born by cesarean section,0.030307382,0.002042101,0.018385354,-0.018217812,-0.009082802,0.003125691,0.013252201,0.1115317,-0.006934485,-0.00924632,0.016076245,0.001804565,0.105997549,-0.062931678,-0.025972268,1,0.123809123,0.086648206
Maternal pregnancy complication,0.038794766,-0.000943249,0.013961051,-0.020071613,-0.013883656,-0.016207036,-0.02695067,0.119214855,0.022513514,-0.007172611,-0.001945482,0.012907914,0.097233169,-0.055618487,-0.04561966,0.123809123,1,0.133557613
Maternal excess gestational weight gain,0.116265487,-0.005150931,0.02718059,-0.00157559,-0.00992674,-0.003281384,-0.008199987,0.274222255,0.002479397,0.002436019,0.075575282,0.034020346,0.214503205,0.074823545,0.07153841,0.086648206,0.133557613,1
