,BMI,Western diet,Sedentary time,Physical activity time,Paternal education,Household income,Neighborhood SES index,Maternal BMI,Maternal Western diet,Maternal physical activity,Maternal smoking,Maternal shift work,Maternal pre-pregnancy BMI,Birth weight,Gestational week,Born by cesarean section,Maternal pregnancy complication,Maternal excess gestational weight gain
BMI,1,-0.023242239,0.0548308,0.01345273,-0.036461768,-0.033087986,-0.052651406,0.26020791,0.030553631,0.003628344,0.040936679,0.006736773,0.235562662,0.027535511,0.008936004,0.025917229,0.043398002,0.11794607
Western diet,-0.023242239,1,0.110449374,0.120139771,-0.087600037,-0.01909678,-0.073966843,0.051400109,0.24459987,-0.007544424,0.01808709,0.03783019,0.028891118,0.008925989,0.008549409,0.001403433,-0.001248389,-0.004991851
Sedentary time,0.0548308,0.110449374,1,0.191362158,-0.044801524,-0.006926849,-0.021658393,0.059828896,0.033780054,-0.020257519,0.047498159,0.077909761,0.02196636,-0.005222459,0.019433118,0.018510635,0.020736052,0.025533846
Physical activity time,0.01345273,0.120139771,0.191362158,1,-0.020393288,0.029545728,-0.02299601,-0.017403399,0.003854294,0.111922389,0.050951939,0.063446282,-0.035078899,0.017881766,0.019189054,-0.01405156,-0.019671456,-0.01263478
Paternal education,-0.036461768,-0.087600037,-0.044801524,-0.020393288,1,0.275594596,0.271664284,-0.103568261,-0.124165116,0.059411792,-0.062435843,-0.014527017,-0.070268586,-0.005884268,-0.007856596,-0.012537916,-0.013044945,-0.012996939
Household income,-0.033087986,-0.01909678,-0.006926849,0.029545728,0.275594596,1,0.30635379,-0.096890942,-0.138328849,0.069014371,-0.005802585,-0.013087326,-0.077686793,0.010204719,0.001692718,-0.002195655,-0.02664548,-0.001611193
Neighborhood SES index,-0.052651406,-0.073966843,-0.021658393,-0.02299601,0.271664284,0.30635379,1,-0.123742578,-0.198044482,0.075415192,0.02403446,-0.029006454,-0.086213701,0.002785795,0.004414971,0.005661477,-0.02658904,-0.000325366
Maternal BMI,0.26020791,0.051400109,0.059828896,-0.017403399,-0.103568261,-0.096890942,-0.123742578,1,0.114015465,-0.120800411,0.026842532,0.07709068,0.838446012,0.044033835,0.01518292,0.112419897,0.119418533,0.275314051
Maternal Western diet,0.030553631,0.24459987,0.033780054,0.003854294,-0.124165116,-0.138328849,-0.198044482,0.114015465,1,-0.113655215,-0.034815073,0.027819712,0.059695631,0.024707296,0.008049678,-0.006397879,0.019541335,0.011511509
Maternal physical activity,0.003628344,-0.007544424,-0.020257519,0.111922389,0.059411792,0.069014371,0.075415192,-0.120800411,-0.113655215,1,0.02400324,0.051679872,-0.073828083,-0.001385773,-0.00217701,-0.006726397,-0.010874537,0.007911543
Maternal smoking,0.040936679,0.01808709,0.047498159,0.050951939,-0.062435843,-0.005802585,0.02403446,0.026842532,-0.034815073,0.02400324,1,0.066142159,0.027029588,-0.008536161,-0.000986704,0.015255192,-0.004539116,0.073326325
Maternal shift work,0.006736773,0.03783019,0.077909761,0.063446282,-0.014527017,-0.013087326,-0.029006454,0.07709068,0.027819712,0.051679872,0.066142159,1,0.052513547,-0.005956305,0.00346043,0.00859595,0.014863794,0.03852861
Maternal pre-pregnancy BMI,0.235562662,0.028891118,0.02196636,-0.035078899,-0.070268586,-0.077686793,-0.086213701,0.838446012,0.059695631,-0.073828083,0.027029588,0.052513547,1,0.036668169,0.010455486,0.106242382,0.100248303,0.21336999
Birth weight,0.027535511,0.008925989,-0.005222459,0.017881766,-0.005884268,0.010204719,0.002785795,0.044033835,0.024707296,-0.001385773,-0.008536161,-0.005956305,0.036668169,1,0.324369224,-0.062135418,-0.05762068,0.076404849
Gestational week,0.008936004,0.008549409,0.019433118,0.019189054,-0.007856596,0.001692718,0.004414971,0.01518292,0.008049678,-0.00217701,-0.000986704,0.00346043,0.010455486,0.324369224,1,-0.027900786,-0.043367758,0.077122783
Born by cesarean section,0.025917229,0.001403433,0.018510635,-0.01405156,-0.012537916,-0.002195655,0.005661477,0.112419897,-0.006397879,-0.006726397,0.015255192,0.00859595,0.106242382,-0.062135418,-0.027900786,1,0.130609415,0.085107189
Maternal pregnancy complication,0.043398002,-0.001248389,0.020736052,-0.019671456,-0.013044945,-0.02664548,-0.02658904,0.119418533,0.019541335,-0.010874537,-0.004539116,0.014863794,0.100248303,-0.05762068,-0.043367758,0.130609415,1,0.141065049
Maternal excess gestational weight gain,0.116265487,-0.005150931,0.02718059,-0.00157559,-0.00992674,-0.003281384,-0.008199987,0.274222255,0.002479397,0.002436019,0.075575282,0.034020346,0.214503205,0.074823545,0.07153841,0.086648206,0.133557613,1
