Label,PAR,LCI,UCI,category,
Western diet,16.6,5.9,27.4,Personal,"16.6 (5.9, 27.4)"
Sedentary time,16.9,4.9,28.8,Personal,"16.9 (4.9, 28.8)"
Physical activity time,10.7,2.4,19.1,Personal,"10.7 (2.4, 19.1)"
Combined personal risk factors,38.3,25.6,50.9,Personal,"38.3 (25.6, 50.9)"
Paternal education,17.4,8.4,26.4,Social,"17.4 (8.4, 26.4)"
Household income,17,1.9,32.1,Social,"17 (1.9, 32.1)"
Neighborhood SES score,23.3,13.7,32.8,Social,"23.3 (13.7, 32.8)"
Combined social risk factors,41,30.8,51.2,Social,"41 (30.8, 51.2)"
Maternal obesity,19.3,16.6,22.1,Maternal,"19.3 (16.6, 22.1)"
Maternal Western diet,18,5.9,30.2,Maternal,"18 (5.9, 30.2)"
Maternal physical activity,18.2,8.9,27.4,Maternal,"18.2 (8.9, 27.4)"
Maternal smoking,6.6,2.9,10.3,Maternal,"6.6 (2.9, 10.3)"
Maternal night shift,13.1,4,22.3,Maternal,"13.1 (4, 22.3)"
Combined maternal risk factors,45.7,35.1,56.3,Maternal,"45.7 (35.1, 56.3)"
Maternal pre-pregnancy obesity,7.9,6.2,9.6,Intrauterine,"7.9 (6.2, 9.6)"
Birth weight,2.1,-0.2,4.3,Intrauterine,"2.1 (-0.2, 4.3)"
Gestational week,1.8,-0.7,4.2,Intrauterine,"1.8 (-0.7, 4.2)"
Born by cesarean section,4.4,0.9,7.8,Intrauterine,"4.4 (0.9, 7.8)"
Maternal pregnancy complication,2.9,0.3,5.5,Intrauterine,"2.9 (0.3, 5.5)"
Maternal excess gestational weight gain†,18.7,12.8,24.5,Intrauterine,"18.7 (12.8, 24.5)"
Combined intrauterine risk factors,16.8,13.1,20.5,Intrauterine,"16.8 (13.1, 20.5)"
Total ,65.5,54.7,76.4,Total,"65.5 (54.7, 76.4)"
,,,,,
,,,,,
,,,,,
Cat,PAR,LCI,UCI,Pie_percent,
child,,,,17.82730375,
soc,,,,4.782935154,
mom,,,,16.30546075,
uter,,,,24.78430034,
other (unexplained),,,,,
total_noadj,87.9,,,,
