Exposures,RR,RRLCI,RRUCI,P,Ptrend,PAR,LCI,UCI,Cat,
Western diet score Q2 vs. Q1,1.100085363,0.914590643,1.323201605,0.3034,0.0001,2.1,-1.7,5.9,Personal,"1.1 (0.91, 1.32)"
Western diet score Q3 vs. Q1,1.279219297,1.055382323,1.550530053,0.0128,,5.5,1.6,9.4,Personal,"1.28 (1.06, 1.55)"
Western diet score Q4 vs. Q1,1.522554063,1.221768767,1.897389209,0.0003,,9.3,5.3,13.4,Personal,"1.52 (1.22, 1.9)"
Sedentary time Q2 vs. Q1,1.198791718,0.97105867,1.479932807,0.0895,0.0301,3.9,-0.4,8.2,Personal,"1.2 (0.97, 1.48)"
Sedentary time Q3 vs. Q1,1.265969552,1.042132735,1.53788366,0.0185,,5.6,-0.002,11.2,Personal,"1.27 (1.04, 1.54)"
Sedentary time Q4 vs. Q1,1.274929626,1.054878425,1.54088425,0.0129,,6.1,0.5,11.7,Personal,"1.27 (1.05, 1.54)"
"Physical activity time Q1 vs, Q4",1.343100001,1.165076403,1.548325595,0.0001,0.0002,7.1,3.2,11,Personal,"1.34 (1.17, 1.55)"
Physical activity time Q2 vs. Q4,1.125275398,0.966428719,1.31023085,0.1283,,1.9,-1.9,5.6,Personal,"1.13 (0.97, 1.31)"
Physical activity time Q3 vs. Q4,1.029421229,0.868536176,1.220108149,0.7345,,0.6,-3.4,4.6,Personal,"1.03 (0.87, 1.22)"
Paternal education high school and below vs. graduate school,1.461275272,1.233315195,1.731370398,0.0001,0.0001,6.9,3.8,10,Social,"1.46 (1.23, 1.73)"
Paternal education college vs. graduate school,1.256548139,1.070061005,1.475535711,0.0067,,8.1,2,14.2,Social,"1.26 (1.07, 1.48)"
Household income <50 k vs. >=150 k,1.387389664,1.077523901,1.786364162,0.0123,0.009,3.6,0.9,6.4,Social,"1.39 (1.08, 1.79)"
Household income 50-99 k vs. >=150 k,1.231960751,0.995715729,1.524257625,0.0546,,9.1,-1.3,19.6,Social,"1.23 (1, 1.52)"
Household income 100-149 k vs. >=150 k,1.17190049,0.935919667,1.467381024,0.1626,,1.6,-3.1,6.3,Social,"1.17 (0.94, 1.47)"
Neighborhood SES index Q1 vs. Q4,1.558526959,1.284006344,1.891740093,0.0001,0.0001,11.4,6.6,16.1,Social,"1.56 (1.28, 1.89)"
Neighborhood SES index Q2 vs. Q4,1.393604735,1.180268204,1.645502395,0.0001,,7.9,3.6,12.1,Social,"1.39 (1.18, 1.65)"
Neighborhood SES index Q3 vs. Q4,1.219785674,1.019125152,1.459955225,0.0305,,4.4,0.6,8.2,Social,"1.22 (1.02, 1.46)"
Maternal obserivy vs. no obesity,3.129212136,2.760818917,3.546762352,0.0001,0.0001,19.6,16.3,22.9,Maternal,"3.13 (2.76, 3.55)"
Maternal Western diet score Q2 vs. Q1,1.11912965,0.923744688,1.355841272,0.2443,0.0001,1.8,-2.3,6,Maternal,"1.12 (0.92, 1.36)"
Maternal Western diet score Q3 vs. Q1,1.214830115,0.972552703,1.517462452,0.0847,,3.5,-1,8,Maternal,"1.21 (0.97, 1.52)"
Maternal Western diet score Q4 vs. Q1,1.597086382,1.2594503,2.025236653,0.0002,,9.8,5,14.6,Maternal,"1.6 (1.26, 2.03)"
Maternal physical activity Q1 vs. Q4,1.402769035,1.193773282,1.648354001,0.0001,0.0001,8.7,4.8,12.5,Maternal,"1.4 (1.19, 1.65)"
Maternal physical activity Q2 vs. Q4,1.261517705,1.068007723,1.490089336,0.0065,,6.7,2.8,10.6,Maternal,"1.26 (1.07, 1.49)"
Maternal physical activity Q3 vs. Q4,1.218493417,1.005963203,1.475924965,0.0436,,4.3,0.5,8.1,Maternal,"1.22 (1.01, 1.48)"
Maternal past smokers vs. never,1.19295527,1.045579658,1.361103639,0.0091,,3.8,0.6,7,Maternal,"1.19 (1.05, 1.36)"
Maternal current smokers vs. never,1.406363306,1.138267193,1.737604105,0.0018,,2.5,0.6,4.3,Maternal,"1.41 (1.14, 1.74)"
