Exposures,RR,RRLCI,RRUCI,P,Ptrend,PAR,LCI,UCI,Cat,,,Label,PAR,LCI,UCI,category,
Western diet score Q2 vs. Q1,1.1,0.93,1.3,0.275,0.0001,2.1,-1.7,5.9,Personal,,,Western diet,17,7.5,26.4,Personal,
Western diet score Q3 vs. Q1,1.29,1.07,1.55,0.008,,5.5,1.6,9.4,Personal,,,Sedentary time,15.6,2,29.3,Personal,
Western diet score Q4 vs. Q1,1.54,1.26,1.89,0.0001,,9.3,5.3,13.4,Personal,,,Physical activity time,9.5,0.1,18.9,Personal,
Sedentary time Q2 vs. Q1,1.22,0.98,1.52,0.08,0.089,3.9,-0.4,8.2,Personal,,,Personal modifiable risk factors,36.7,23.5,50,Personal,
Sedentary time Q3 vs. Q1,1.24,0.99,1.56,0.057,,5.6,-0.002,11.2,Personal,,,Paternal education,15,7.1,23,Social,
Sedentary time Q4 vs. Q1,1.22,1.01,1.49,0.044,,6.1,0.5,11.7,Personal,,,Household income,14.4,-1.4,30.1,Social,
"Physical activity time Q1 vs, Q4",1.32,1.13,1.55,0.001,0.002,7.1,3.2,11,Personal,,,Neighborhood SES score,23.6,13.7,33.5,Social,
Physical activity time Q2 vs. Q4,1.09,0.92,1.28,0.323,,1.9,-1.9,5.6,Personal,,,Social risk factors,37.7,24.5,50.9,Social,
Physical activity time Q3 vs. Q4,1.02,0.85,1.23,0.816,,0.6,-3.4,4.6,Personal,,,Maternal obesity,19.5,16.3,22.9,Maternal,
Paternal education high school and below vs. graduate school,1.46,1.24,1.73,0.0001,0.0001,6.9,3.8,10,Socioeconomic,,,Maternal Western diet,15.1,3.8,26.4,Maternal,
Paternal education college vs. graduate school,1.19,1.04,1.36,0.011,,8.1,2,14.2,Socioeconomic,,,Maternal physical activity,19.7,10.3,29,Maternal,
Household income <50 k vs. >=150 k,1.32,1.06,1.64,0.012,0.005,3.6,0.9,6.4,Socioeconomic,,,Maternal smoking,6.3,2.2,10.3,Maternal,
Household income 50-99 k vs. >=150 k,1.22,0.96,1.56,0.096,,9.1,-1.3,19.6,Socioeconomic,,,Maternal night shift,12.4,4.3,20.5,Maternal,
Household income 100-149 k vs. >=150 k,1.08,0.86,1.34,0.508,,1.6,-3.1,6.3,Socioeconomic,,,Maternal modifiable risk factors,44.4,33.4,55.5,Maternal,
Neighborhood SES index Q1 vs. Q4,1.56,1.29,1.89,0.0001,0.0001,11.4,6.6,16.1,Socioeconomic,,,Maternal pre-pregnancy obesity,7.9,6.1,9.8,Intrauterine,
