,parameter,exposure,group,subgroup,RR,LCI,UCI,Q_stat,p_het,category,mod
7,rr,Western diet Q2 vs. Q1,age,child,1.06431,0.6521,1.73711,0.04,,Personal,life
8,rr,Western diet Q3 vs. Q1,age,child,1.57959,0.9454,2.6392,0.59,,Personal,life
9,rr,Western diet Q4 vs. Q1,age,child,2.31032,1.25093,4.26688,1.94,,Personal,life
10,rr,Sedentary time Q2 vs. Q1,age,child,0.75091,0.47492,1.18728,3.96,,Personal,life
11,rr,Sedentary time Q3 vs. Q1,age,child,0.72653,0.46192,1.14273,5.01,,Personal,life
12,rr,Sedentary time Q4 vs. Q1,age,child,0.58836,0.39178,0.88359,10.99,,Personal,life
13,rr,"Physical activity Q1 vs, Q4",age,child,1.39918,0.95757,2.04445,0.17,,Personal,life
14,rr,Physical activity Q2 vs. Q4,age,child,1.14544,0.7288,1.80026,0.04,,Personal,life
15,rr,Physical activity Q3 vs. Q4,age,child,0.87059,0.54701,1.38558,0.54,,Personal,life
16,rr,Western diet Q2 vs. Q1,sex,female,1.1696,0.91017,1.50298,0.46,0.49518,Personal,life
17,rr,Western diet Q3 vs. Q1,sex,female,1.39246,1.06019,1.82886,0.52,0.46916,Personal,life
18,rr,Western diet Q4 vs. Q1,sex,female,1.88622,1.41548,2.5135,3.4,0.06481,Personal,life
19,rr,Sedentary time Q2 vs. Q1,sex,female,1.08489,0.82024,1.43492,1.5,0.22021,Personal,life
20,rr,Sedentary time Q3 vs. Q1,sex,female,1.15001,0.86429,1.53017,0.75,0.38361,Personal,life
21,rr,Sedentary time Q4 vs. Q1,sex,female,1.15117,0.87365,1.51684,0.66,0.41449,Personal,life
22,rr,"Physical activity Q1 vs, Q4",sex,female,1.40158,1.11166,1.76712,0.54,0.46177,Personal,life
23,rr,Physical activity Q2 vs. Q4,sex,female,1.06232,0.8253,1.3674,0.03,0.84736,Personal,life
24,rr,Physical activity Q3 vs. Q4,sex,female,1.07192,0.82349,1.3953,0.2,0.65414,Personal,life
25,rr,Western diet Q2 vs. Q1,sex,male,1.04093,0.83221,1.302,0.46,,Personal,life
