,parameter,exposure,group,subgroup,RR,LCI,UCI,Q_stat,p_het,category,mod
7,rr,Western diet Q2 vs. Q1,age,child,1.07875,0.71697,1.62307,0.02,,Personal,life
8,rr,Western diet Q3 vs. Q1,age,child,1.5432,0.9136,2.60669,0.46,,Personal,life
9,rr,Western diet Q4 vs. Q1,age,child,2.22985,1.20863,4.11397,1.71,,Personal,life
10,rr,Sedentary time Q2 vs. Q1,age,child,0.80386,0.52614,1.22816,2.85,,Personal,life
11,rr,Sedentary time Q3 vs. Q1,age,child,0.75429,0.48924,1.16293,4.97,,Personal,life
12,rr,Sedentary time Q4 vs. Q1,age,child,0.60022,0.37872,0.95128,9.96,,Personal,life
13,rr,"Physical activity Q1 vs, Q4",age,child,1.30984,0.88894,1.93004,0,,Personal,life
14,rr,Physical activity Q2 vs. Q4,age,child,1.17086,0.75163,1.82392,0.02,,Personal,life
15,rr,Physical activity Q3 vs. Q4,age,child,0.7792,0.46901,1.29456,1.41,,Personal,life
16,rr,Western diet Q2 vs. Q1,sex,female,1.13331,0.89171,1.44036,0.11,0.73409,Personal,life
17,rr,Western diet Q3 vs. Q1,sex,female,1.3551,1.04957,1.74958,0.25,0.61594,Personal,life
18,rr,Western diet Q4 vs. Q1,sex,female,1.78231,1.33458,2.38025,1.79,0.17979,Personal,life
19,rr,Sedentary time Q2 vs. Q1,sex,female,1.06209,0.82841,1.36169,1.41,0.23414,Personal,life
20,rr,Sedentary time Q3 vs. Q1,sex,female,1.21827,0.95855,1.54835,0.2,0.64982,Personal,life
21,rr,Sedentary time Q4 vs. Q1,sex,female,1.23679,0.97785,1.5643,0.19,0.65925,Personal,life
22,rr,"Physical activity Q1 vs, Q4",sex,female,1.4738,1.13682,1.91069,0.96,0.32561,Personal,life
23,rr,Physical activity Q2 vs. Q4,sex,female,1.12349,0.85441,1.47732,0,0.98224,Personal,life
24,rr,Physical activity Q3 vs. Q4,sex,female,1.13012,0.84173,1.51733,0.73,0.39029,Personal,life
25,rr,Western diet Q2 vs. Q1,sex,male,1.06822,0.83043,1.37409,0.11,,Personal,life
