,parameter,mod,group,subgroup,exposure,PAF,LCI,UCI,PAR_estimate,PAR_min,PAR_max,Q_stat,p_het,category
7,par,life,age,child,Western diet ,27.983,22.236,34.012,0.27983,0.22236,0.34012,0.89,,Personal
11,par,life,age,child,Sedentary time,0,0,0,0,0,0,1.12,,Personal
15,par,life,age,child,Physical activity,13.559,11.037,17.14,0.13559,0.11037,0.1714,0.12,,Personal
19,par,life,age,child,Personal risk factors,37.953,31.015,44.928,0.37953,0.31015,0.44928,0,,Personal
20,par,life,sex,female,Western diet ,23.748,21.654,25.023,0.23748,0.21654,0.25023,1.86,0.17213,Personal
24,par,life,sex,female,Sedentary time,8.924,4.182,14.83,0.08924,0.04182,0.1483,1.49,0.2209,Personal
28,par,life,sex,female,Physical activity,12.466,8.734,14.107,0.12466,0.08734,0.14107,0.26,0.60485,Personal
32,par,life,sex,female,Personal risk factors,39.364,37.424,44.226,0.39364,0.37424,0.44226,0.02,0.8872,Personal
33,par,life,sex,male,Western diet ,10.955,8.74,13.625,0.10955,0.0874,0.13625,1.86,,Personal
37,par,life,sex,male,Sedentary time,24.019,20.848,29.846,0.24019,0.20848,0.29846,1.49,,Personal
41,par,life,sex,male,Physical activity,7.61,4.317,10.633,0.0761,0.04317,0.10633,0.26,,Personal
45,par,life,sex,male,Personal risk factors,37.527,33.358,42.813,0.37527,0.33358,0.42813,0.02,,Personal
46,par,life,mob,moob,Western diet ,9.572,5.647,11.555,0.09572,0.05647,0.11555,0.55,0.45757,Personal
50,par,life,mob,moob,Sedentary time,28.822,24.932,31.969,0.28822,0.24932,0.31969,2.44,0.11797,Personal
54,par,life,mob,moob,Physical activity,4.33,0.769,7.956,0.0433,0.00769,0.07956,0.48,0.48478,Personal
58,par,life,mob,moob,Personal risk factors,38.343,32.937,42.824,0.38343,0.32937,0.42824,0.09,0.75235,Personal
59,par,life,mob,nomoob,Western diet ,17.879,16.404,19.943,0.17879,0.16404,0.19943,0.55,,Personal
63,par,life,mob,nomoob,Sedentary time,8.642,5.213,16.338,0.08642,0.05213,0.16338,2.44,,Personal
67,par,life,mob,nomoob,Physical activity,11.363,8.957,13.837,0.11363,0.08957,0.13837,0.48,,Personal
71,par,life,mob,nomoob,Personal risk factors,33.706,31.589,36.402,0.33706,0.31589,0.36402,0.09,,Personal
72,par,life,age,teen,Western diet ,16.001,13.793,19.038,0.16001,0.13793,0.19038,0.89,0.34486,Personal
76,par,life,age,teen,Sedentary time,18.094,14.64,23.831,0.18094,0.1464,0.23831,1.12,0.28974,Personal
80,par,life,age,teen,Physical activity,9.01,4.989,12.799,0.0901,0.04989,0.12799,0.12,0.72597,Personal
84,par,life,age,teen,Personal risk factors,37.51,34.485,41.596,0.3751,0.34485,0.41596,0,0.98088,Personal
192,par,socio,age,child,Neighborhood SES,30.878,26.545,35.385,0.30878,0.26545,0.35385,0.46,,Social
185,par,socio,age,child,Paternal education,26.363,20.832,30.171,0.26363,0.20832,0.30171,1.41,,Social
188,par,socio,age,child,Household income,17.382,14.195,20.568,0.17382,0.14195,0.20568,0.03,,Social
196,par,socio,age,child,Social risk factors,50.565,45.768,53.257,0.50565,0.45768,0.53257,1.23,,Social
204,par,socio,sex,female,Neighborhood SES,27.61,25.717,30.859,0.2761,0.25717,0.30859,0.42,0.51566,Social
197,par,socio,sex,female,Paternal education,17.898,15.726,21.7,0.17898,0.15726,0.217,0.34,0.55796,Social
200,par,socio,sex,female,Household income,19.63,8.57,27.963,0.1963,0.0857,0.27963,0.26,0.60535,Social
208,par,socio,sex,female,Social risk factors,45.64,39.014,50.473,0.4564,0.39014,0.50473,0.96,0.32671,Social
216,par,socio,sex,male,Neighborhood SES,20.641,13.93,24.149,0.20641,0.1393,0.24149,0.42,,Social
209,par,socio,sex,male,Paternal education,12.807,10.274,16.978,0.12807,0.10274,0.16978,0.34,,Social
212,par,socio,sex,male,Household income,11.089,5.014,16.511,0.11089,0.05014,0.16511,0.26,,Social
220,par,socio,sex,male,Social risk factors,32.502,24.752,38.321,0.32502,0.24752,0.38321,0.96,,Social
228,par,socio,mob,moob,Neighborhood SES,27.793,22.361,31.864,0.27793,0.22361,0.31864,0.68,0.40646,Social
221,par,socio,mob,moob,Paternal education,0.648,0,1.374,0.00648,0,0.01374,2.01,0.15618,Social
224,par,socio,mob,moob,Household income,2.695,0,6.399,0.02695,0,0.06399,0.23,0.62992,Social
232,par,socio,mob,moob,Social risk factors,28.133,22.752,32.413,0.28133,0.22752,0.32413,0.07,0.78108,Social
240,par,socio,mob,nomoob,Neighborhood SES,17.443,14.447,19.277,0.17443,0.14447,0.19277,0.68,,Social
233,par,socio,mob,nomoob,Paternal education,14.864,13.639,16.415,0.14864,0.13639,0.16415,2.01,,Social
236,par,socio,mob,nomoob,Household income,11.106,4.109,16.089,0.11106,0.04109,0.16089,0.23,,Social
244,par,socio,mob,nomoob,Social risk factors,32.58,27.296,35.861,0.3258,0.27296,0.35861,0.07,,Social
252,par,socio,age,teen,Neighborhood SES,22.091,19.426,24.369,0.22091,0.19426,0.24369,0.46,0.49317,Social
245,par,socio,age,teen,Paternal education,12.843,11.419,14.583,0.12843,0.11419,0.14583,1.41,0.23342,Social
248,par,socio,age,teen,Household income,13.906,7.506,18.089,0.13906,0.07506,0.18089,0.03,0.84903,Social
256,par,socio,age,teen,Social risk factors,35.153,29.045,39.383,0.35153,0.29045,0.39383,1.23,0.26727,Social
100,par,mom,age,child,Obesity,20.732,18.596,22.633,0.20732,0.18596,0.22633,0.08,,Maternal
85,par,mom,age,child,Western diet (m),21.187,14.706,29.786,0.21187,0.14706,0.29786,0.08,,Maternal
89,par,mom,age,child,Physical activity (m),13.13,8.438,16.584,0.1313,0.08438,0.16584,0.27,,Maternal
93,par,mom,age,child,Smoking,1.26,0,3.235,0.0126,0,0.03235,1.22,,Maternal
96,par,mom,age,child,Night-shift work,12.53,9.618,15.698,0.1253,0.09618,0.15698,0,,Maternal
101,par,mom,age,child,Maternal risk factors,45.059,40.809,49.351,0.45059,0.40809,0.49351,0,,Maternal
117,par,mom,sex,female,Obesity,24.588,23.536,25.77,0.24588,0.23536,0.2577,8.21,0.00416,Maternal
102,par,mom,sex,female,Western diet (m),32.098,27.649,38.296,0.32098,0.27649,0.38296,6.24,0.01247,Maternal
106,par,mom,sex,female,Physical activity (m),14.951,9.947,19.61,0.14951,0.09947,0.1961,0.65,0.41855,Maternal
110,par,mom,sex,female,Smoking,5.499,4.151,7.603,0.05499,0.04151,0.07603,0.11,0.73039,Maternal
113,par,mom,sex,female,Night-shift work,13.551,10.831,15.689,0.13551,0.10831,0.15689,0.06,0.80599,Maternal
118,par,mom,sex,female,Maternal risk factors,52.39,48.99,55.766,0.5239,0.4899,0.55766,1.04,0.30653,Maternal
134,par,mom,sex,male,Obesity,15.683,14.758,16.891,0.15683,0.14758,0.16891,8.21,,Maternal
119,par,mom,sex,male,Western diet (m),4.14,2.472,6.122,0.0414,0.02472,0.06122,6.24,,Maternal
123,par,mom,sex,male,Physical activity (m),23.097,21.519,25.976,0.23097,0.21519,0.25976,0.65,,Maternal
127,par,mom,sex,male,Smoking,6.881,5.868,7.807,0.06881,0.05868,0.07807,0.11,,Maternal
130,par,mom,sex,male,Night-shift work,11.48,9.804,12.912,0.1148,0.09804,0.12912,0.06,,Maternal
135,par,mom,sex,male,Maternal risk factors,41.687,40.161,43.225,0.41687,0.40161,0.43225,1.04,,Maternal
,par,mom,mob,moob,Obesity,,,,,,,,,Maternal
136,par,mom,mob,moob,Western diet (m),8.831,3.255,14.827,0.08831,0.03255,0.14827,0,0.99888,Maternal
140,par,mom,mob,moob,Physical activity (m),23.46,15.105,30.382,0.2346,0.15105,0.30382,0.91,0.33887,Maternal
144,par,mom,mob,moob,Smoking,4.14,2.901,6.841,0.0414,0.02901,0.06841,0.32,0.57118,Maternal
147,par,mom,mob,moob,Night-shift work,8.903,6.231,12.115,0.08903,0.06231,0.12115,0,0.94356,Maternal
151,par,mom,mob,moob,Maternal risk factors,39.002,32.889,46.665,0.39002,0.32889,0.46665,0.22,0.63792,Maternal
,par,mom,mob,moob,Obesity,,,,,,,,,Maternal
152,par,mom,mob,nomoob,Western diet (m),8.853,5.933,11.958,0.08853,0.05933,0.11958,0,,Maternal
156,par,mom,mob,nomoob,Physical activity (m),10.299,6.385,13.584,0.10299,0.06385,0.13584,0.91,,Maternal
160,par,mom,mob,nomoob,Smoking,6.625,5.98,7.618,0.06625,0.0598,0.07618,0.32,,Maternal
163,par,mom,mob,nomoob,Night-shift work,9.624,8.682,11.536,0.09624,0.08682,0.11536,0,,Maternal
167,par,mom,mob,nomoob,Maternal risk factors,31.017,29.712,32.322,0.31017,0.29712,0.32322,0.22,,Maternal
183,par,mom,age,teen,Obesity,19.482,18.45,20.984,0.19482,0.1845,0.20984,0.08,0.76694,Maternal
168,par,mom,age,teen,Western diet (m),16.732,13.87,18.437,0.16732,0.1387,0.18437,0.08,0.77261,Maternal
172,par,mom,age,teen,Physical activity (m),19.974,17.825,21.136,0.19974,0.17825,0.21136,0.27,0.60028,Maternal
176,par,mom,age,teen,Smoking,7.107,6.508,8.454,0.07107,0.06508,0.08454,1.22,0.26774,Maternal
179,par,mom,age,teen,Night-shift work,12.903,12.27,13.888,0.12903,0.1227,0.13888,0,0.97271,Maternal
184,par,mom,age,teen,Maternal risk factors,45.898,43.424,47.793,0.45898,0.43424,0.47793,0,0.95366,Maternal
265,par,uter,age,child,Pre-pregnancy obesity,7.09,4.925,8.922,0.0709,0.04925,0.08922,0.11,,Maternal
257,par,uter,age,child,Birth weight,3.839,2.869,4.699,0.03839,0.02869,0.04699,0.53,,Intrauterine
260,par,uter,age,child,Gestational age,3.834,2.079,6.066,0.03834,0.02079,0.06066,0.24,,Intrauterine
