,parameter,mod,group,subgroup,exposure,PAF,LCI,UCI,PAR_estimate,PAR_min,PAR_max,Q_stat,p_het,category
7,par,life,age,child,Western diet ,27.040,23.027,33.885,0.2704,0.23027,0.33885,0.76,,Personal
11,par,life,age,child,Sedentary time,0.000,0.000,0.000,0,0,0,1.26,,Personal
15,par,life,age,child,Physical activity,11.831,7.828,16.814,0.11831,0.07828,0.16814,0,,Personal
19,par,life,age,child,Personal risk factors,35.888,31.606,43.002,0.35888,0.31606,0.43002,0.03,,Personal
20,par,life,sex,female,Western diet ,21.525,19.177,23.689,0.21525,0.19177,0.23689,0.78,0.37656,Personal
24,par,life,sex,female,Sedentary time,11.623,10.456,14.791,0.11623,0.10456,0.14791,0.88,0.34657,Personal
28,par,life,sex,female,Physical activity,15.935,12.546,22.201,0.15935,0.12546,0.22201,0.71,0.39677,Personal
32,par,life,sex,female,Personal risk factors,41.851,38.070,44.399,0.41851,0.3807,0.44399,0.11,0.73181,Personal
33,par,life,sex,male,Western diet ,12.660,6.207,16.448,0.1266,0.06207,0.16448,0.78,,Personal
37,par,life,sex,male,Sedentary time,22.390,15.992,27.831,0.2239,0.15992,0.27831,0.88,,Personal
41,par,life,sex,male,Physical activity,7.811,5.271,9.971,0.07811,0.05271,0.09971,0.71,,Personal
45,par,life,sex,male,Personal risk factors,37.619,34.275,43.623,0.37619,0.34275,0.43623,0.11,,Personal
46,par,life,mob,moob,Western diet ,11.135,7.506,14.865,0.11135,0.07506,0.14865,0.2,0.64698,Personal
50,par,life,mob,moob,Sedentary time,23.465,15.292,30.081,0.23465,0.15292,0.30081,0.66,0.41634,Personal
54,par,life,mob,moob,Physical activity,7.064,2.560,9.787,0.07064,0.0256,0.09787,0.21,0.63973,Personal
58,par,life,mob,moob,Personal risk factors,36.683,28.522,44.797,0.36683,0.28522,0.44797,0,0.93032,Personal
59,par,life,mob,nomoob,Western diet ,16.314,11.975,18.785,0.16314,0.11975,0.18785,0.2,,Personal
63,par,life,mob,nomoob,Sedentary time,12.378,5.487,17.098,0.12378,0.05487,0.17098,0.66,,Personal
67,par,life,mob,nomoob,Physical activity,11.593,9.242,12.826,0.11593,0.09242,0.12826,0.21,,Personal
71,par,life,mob,nomoob,Personal risk factors,35.327,31.469,38.973,0.35327,0.31469,0.38973,0,,Personal
72,par,life,age,teen,Western diet ,15.810,11.694,19.141,0.1581,0.11694,0.19141,0.76,0.38031,Personal
