_TYPE_,_NAME_,cohort,white,sex,chage,chob,chbmi,chbmibase,bmibpreg,abwt,gweek,prev_preg,incom01,income,Comp_Gesdbg,Comp_prghtng,Comp_peclmpg,Delivery,pregcomp,pregcomp2,husbeduc,mosmk,agebirth,chwest,chcal,chst,chpa,moage,mowest,mocal,mopa,mobmi,moshift,ses
MEAN,,1.3812772926,0.9414769183,0.5435121647,12.131082346,0,19.163395976,19.163395976,22.387518298,1.9860417966,1.9891999376,1.2090611354,6.9694323144,2.4293512165,0.0321272614,0.0405099813,0.0389114161,0.2015361822,0.260371179,0.092716781,2.1652760449,1.358507486,29.601479648,-0.007269507,2156.7819768,46.790608305,16.199095324,42.503548035,0.1028442563,1880.6234603,20.689422529,24.149545343,7.4973115725,0.3285347374
STD,,0.4857099102,0.2347344861,0.4981128039,1.8728367503,0,2.997683681,2.997683681,3.5063461367,0.2584406182,0.357181468,1.0418956863,1.4736218608,0.9015131871,0.1763414667,0.1971558729,0.1933876313,0.4011553612,0.438845687,0.2900407893,0.6826674248,0.596206005,3.9233380351,0.9949924582,716.10650508,23.218341587,10.808321172,4.3103547956,0.8734765436,487.64101144,21.761859731,4.4405247252,10.100230843,3.4775644679
N,,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648,25648
CORR,cohort,1,0.0517416772,0.0114415198,0.3734629201,,0.1817352972,0.1817352972,0.0794337779,-0.011706182,-0.052807338,0.1506276016,0.002616868,0.0052737113,0.0481759843,-0.00128141,-0.029271007,0.0126426321,0.0182615125,0.0158654813,0.0374569018,-0.041900599,0.3892480847,-0.00150149,-0.03430308,-0.27726422,-0.193284219,0.5568370916,0.0194954518,0.0530431521,0.0836499915,0.0268730327,-0.125239883,0.0605751544
CORR,white,0.0517416772,1,-0.010400392,0.0211997592,,0.0039794928,0.0039794928,-0.022479945,0.0251055885,0.0036430666,-0.001024386,-0.002476158,-0.002361396,-0.013919313,-0.009431531,-0.004804825,-0.016353366,-0.020508629,-0.011357857,-0.016994345,0.0239384882,-0.019643822,0.0329256664,0.0290660942,-0.047404775,0.0135672804,-0.006687,0.0326865265,0.0112639949,0.0331283152,-0.028084328,-0.011449323,-0.048269151
CORR,sex,0.0114415198,-0.010400392,1,0.0362562593,,0.0015301067,0.0015301067,0.0031771803,-0.047725479,0.0078070338,0.0051781487,-0.010849882,-0.011427506,0.0102744073,0.0036887733,-0.00138639,-0.010032467,-0.008664228,0.0031112387,-0.009444241,0.0100840011,-0.00686759,0.0021102274,-0.205113154,-0.069862853,-0.100916556,0.0089499174,0.0146128931,0.0092606713,-0.012393764,0.0035309906,-0.00373421,-0.014298667
CORR,chage,0.3734629201,0.0211997592,0.0362562593,1,,0.4129850277,0.4129850277,-0.013248092,-0.011611453,0.0053079648,-0.061904104,0.0007416615,0.000095188,-0.009764849,-0.002394702,0.0029070767,-0.013009319,-0.011000261,0.0005732526,0.0091151958,-0.013258116,-0.058679883,-0.006894087,-0.012367866,0.029044886,0.0873501487,0.3733542553,0.0267063905,0.0245415376,0.011008763,0.0321337804,-0.051366731,0.0007947615
CORR,chob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORR,chbmi,0.1817352972,0.0039794928,0.0015301067,0.4129850277,,1,1,0.2355626617,0.0275355112,0.0089360042,-0.014631634,-0.033087986,-0.033906895,0.0195643711,0.0272481946,0.027799942,0.0259172288,0.0401021148,0.0433980022,-0.036461768,0.0409366787,-0.014226152,-0.023242239,-0.064054006,0.0548308003,0.0134527296,0.1710366967,0.0305536312,0.0040021322,0.0036283444,0.2602079102,0.0067367734,-0.052651406
CORR,chbmibase,0.1817352972,0.0039794928,0.0015301067,0.4129850277,,1,1,0.2355626617,0.0275355112,0.0089360042,-0.014631634,-0.033087986,-0.033906895,0.0195643711,0.0272481946,0.027799942,0.0259172288,0.0401021148,0.0433980022,-0.036461768,0.0409366787,-0.014226152,-0.023242239,-0.064054006,0.0548308003,0.0134527296,0.1710366967,0.0305536312,0.0040021322,0.0036283444,0.2602079102,0.0067367734,-0.052651406
CORR,bmibpreg,0.0794337779,-0.022479945,0.0031771803,-0.013248092,,0.2355626617,0.2355626617,1,0.036668169,0.010455486,0.099744381,-0.077686793,-0.079961687,0.0582582053,0.0715190615,0.0638193572,0.1062423818,0.1246570548,0.1002483033,-0.070268586,0.0270295884,0.1017702205,0.0288911178,-0.025819895,0.0219663599,-0.035078899,0.0883604041,0.0596956308,0.0018568364,-0.073828083,0.8384460116,0.0525135466,-0.086213701
CORR,abwt,-0.011706182,0.0251055885,-0.047725479,-0.011611453,,0.0275355112,0.0275355112,0.036668169,1,0.3243692239,0.0371755384,0.0102047193,0.0087361188,0.0318487661,-0.061938233,-0.096550568,-0.062135418,-0.06166259,-0.05762068,-0.005884268,-0.008536161,-0.006395172,0.0089259892,0.0215439517,-0.005222459,0.0178817655,-0.01147638,0.0247072963,0.021907134,-0.001385773,0.044033835,-0.005956305,0.0027857945
CORR,gweek,-0.052807338,0.0036430666,0.0078070338,0.0053079648,,0.0089360042,0.0089360042,0.010455486,0.3243692239,1,-0.033559171,0.0016927179,0.0021459218,-0.011292216,-0.0305319,-0.050224782,-0.027900786,-0.033224958,-0.043367758,-0.007856596,-0.000986704,-0.036486594,0.0085494092,0.0094084142,0.019433118,0.0191890537,-0.032184694,0.0080496777,0.0123033532,-0.00217701,0.0151829198,0.0034604301,0.0044149713
CORR,prev_preg,0.1506276016,-0.001024386,0.0051781487,-0.061904104,,-0.014631634,-0.014631634,0.099744381,0.0371755384,-0.033559171,1,0.0100914255,0.0135293831,0.011027392,-0.057871489,-0.093671802,-0.02872008,-0.046626821,-0.070624562,0.0147186978,0.0435607678,0.3927314914,-0.005947167,-0.015180597,-0.054407218,-0.025627915,0.3314907619,0.007935907,0.0129723239,0.0073736849,0.0378399326,-0.032373566,0.014010357
CORR,incom01,0.002616868,-0.002476158,-0.010849882,0.0007416615,,-0.033087986,-0.033087986,-0.077686793,0.0102047193,0.0016927179,0.0100914255,1,0.9583943687,-0.021010794,-0.019198341,-0.016505748,-0.002195655,-0.009466754,-0.02664548,0.2755945962,-0.005802585,0.0640239962,-0.01909678,0.0185298396,-0.006926849,0.0295457282,0.0553559495,-0.138328849,-0.056948311,0.0690143706,-0.096890942,-0.013087326,0.3063537895
CORR,income,0.0052737113,-0.002361396,-0.011427506,0.000095188,,-0.033906895,-0.033906895,-0.079961687,0.0087361188,0.0021459218,0.0135293831,0.9583943687,1,-0.020698489,-0.018568483,-0.015626595,-0.001032072,-0.007803525,-0.025808572,0.2774897796,-0.007608987,0.0689121843,-0.024241937,0.0160345883,-0.010939845,0.0258349285,0.0593381096,-0.14074726,-0.05974485,0.0706331214,-0.098094893,-0.01577271,0.3033946358
CORR,Comp_Gesdbg,0.0481759843,-0.013919313,0.0102744073,-0.009764849,,0.0195643711,0.0195643711,0.0582582053,0.0318487661,-0.011292216,0.011027392,-0.021010794,-0.020698489,1,0.0567700759,0.042232017,0.0655545866,0.3070705612,0.5699279962,-0.003873425,-0.010448184,0.0442166069,0.0002702926,-0.004758059,0.000284581,-0.027486479,0.0405261252,0.029602179,0.0212722187,-0.017074182,0.0652331027,0.0014232985,-0.013391281
