_TYPE_,_NAME_,gotweight,chob,chbmi,bmibpreg,abwt,gweek,prev_preg,incom01,income,Comp_Gesdbg,Comp_prghtng,Comp_peclmpg,Delivery,pregcomp,pregcomp2,husbeduc,mosmk,agebirth,chwest,chcal,chst,chpa,moage,mowest,mocal,mopa,mobmi,moshift,ses,supermarket,restaurant,fastfood,convenience,foodswamp,supermarketz,restaurantz,fastfoodz,conveniencez,foodswampz,supermarketa,restauranta,fastfooda,conveniencea,foodswampa
MEAN,,0.3145715238,0,18.722389463,22.155449293,1.9866622207,2.0000666889,1.0776925642,6.9739246415,2.4292097366,0.0254751584,0.0398132711,0.0438146049,0.1977325775,0.2547515839,0.0892297432,2.1461820607,1.3828609537,28.401611648,-0.010717366,2170.7311492,50.998128178,17.565360366,40.614538179,0.0933018375,1863.2604805,20.11719965,24.091430079,8.9806468568,0.1844876661,1.5119593689,6.6865347102,4.8154581781,0.7135949168,31.727424767,1.5126382961,6.6906878366,4.8156256974,0.7141094484,31.748258835,1.5133172234,6.694840963,4.8157932167,0.71462398,31.728028803
STD,,0.4643604854,0,2.8858730287,3.3497788345,0.255567908,0.3647646047,1.0057354584,1.4651435518,0.89369638,0.1575684944,0.1955267861,0.2046892263,0.3983026301,0.4357360168,0.2850845773,0.6905278124,0.6229672969,3.5367468445,0.9938580535,700.45177899,22.962458202,11.106901184,3.5594011359,0.8952501562,496.32588682,22.418104425,4.4989220054,11.493715816,3.4634719686,5.0824038274,26.401781653,9.8899571823,1.2976635063,45.532532417,5.0820720508,26.399869378,9.8898693181,1.2971620959,45.539544407,5.0819996561,26.399676474,9.8897940328,1.2970970473,45.532092804
N,,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995,14995
CORR,gotweight,1,,0.1162654869,0.2145032052,0.0748235452,0.0715384103,-0.031718377,-0.006636134,-0.003281384,0.0271934712,0.0971080111,0.1349495376,0.0866482064,0.1227268861,0.1335576133,-0.00992674,0.0755752823,-0.01930182,-0.005150931,-0.014482904,0.02718059,-0.00157559,-0.016234259,0.0024793971,0.0173007543,0.0024360194,0.2742222548,0.0340203462,-0.008199987,0.0075319645,0.0043525384,-0.000093484,0.0102838791,-0.006504547,0.0075086027,0.0041910684,-0.000222857,0.010158261,-0.006968114,0.0073748305,0.0036241797,-0.000367778,0.0099073984,-0.006519622
CORR,chob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORR,chbmi,0.1162654869,,1,0.225431179,0.0261756077,0.0339155524,-0.031574312,-0.02952683,-0.032082236,-0.0000176,0.0138134549,0.0338503702,0.0220023315,0.0328331268,0.0319523833,-0.051143378,0.0441808533,-0.078757784,-0.023301495,-0.063997085,0.0840223884,0.0281331673,0.0876311325,0.0206774379,-0.011281664,-0.008935124,0.2587242276,0.0300989292,-0.059512876,-0.001098318,-0.002832808,-0.006567956,0.0037890881,0.006408471,-0.001072834,-0.003059047,-0.006804525,0.0034802892,0.0061526976,-0.001027545,-0.003671214,-0.007075458,0.003208151,0.0063928013
CORR,bmibpreg,0.2145032052,,0.225431179,1,0.0432970431,0.0181039314,0.0992856711,-0.068635279,-0.072609098,0.042838609,0.0705761168,0.070953234,0.1004912311,0.1190120045,0.0934733408,-0.066698847,0.0223582757,0.0663924006,0.0159873553,-0.030650932,0.0326162716,-0.014072639,0.0428970072,0.0446011568,-0.003473231,-0.049982632,0.8106868982,0.0622498214,-0.08979346,0.0201926222,0.0025893214,0.0014948084,0.0300092031,0.0038548193,0.0198641133,0.0026358158,0.0014720957,0.0292714349,0.0037978308,0.0191519283,0.0025723746,0.0014651204,0.0283606376,0.0040826766
CORR,abwt,0.0748235452,,0.0261756077,0.0432970431,1,0.309460677,0.04214506,0.0171202152,0.0096146068,0.0544531414,-0.05239862,-0.082419256,-0.062992093,-0.056823436,-0.041866551,-0.003356315,-0.003776578,-0.009133101,-0.001156074,0.0186007775,-0.001360592,0.0133218706,-0.017287362,0.0195089188,0.0171238745,-0.005361647,0.0442795204,0.0046822057,0.0051470652,-0.029688474,-0.02488687,-0.032751291,-0.010475458,0.005429155,-0.029938138,-0.025038808,-0.032748353,-0.011421857,0.0047922953,-0.030473838,-0.025673396,-0.03273993,-0.012565169,0.0054332325
CORR,gweek,0.0715384103,,0.0339155524,0.0181039314,0.309460677,1,-0.030976072,0.0192074653,0.0199386093,0.0011314901,-0.011257417,-0.038446825,-0.012023721,-0.010594569,-0.019937084,0.002496351,0.0033753147,-0.03597562,0.0043648185,-0.000331533,0.0090635181,0.0059643266,-0.019518543,0.0090039047,0.0126883424,0.0035009577,0.0219081856,0.0053179801,0.0187402484,0.0028380909,0.0017760149,0.001913058,0.0076803216,-0.008613909,0.0028408105,0.0017769905,0.0019131857,0.0074635347,-0.008621679,0.002838947,0.0017774657,0.0019125286,0.0072323576,-0.008625462
CORR,prev_preg,-0.031718377,,-0.031574312,0.0992856711,0.04214506,-0.030976072,1,0.0034868065,0.0071229086,0.0067419775,-0.051789837,-0.090078539,-0.014418357,-0.036020866,-0.075509998,0.0142763182,0.0532844365,0.3820647842,-0.000371422,0.0013933378,-0.013158269,0.001329271,0.320090825,-0.001188434,-0.000872219,0.0102214118,0.0403770334,-0.019907118,0.0128038796,0.0127004159,0.0076873247,0.0065953445,-0.002336663,-0.012684977,0.012721958,0.007812843,0.0064905465,-0.002609726,-0.011949636,0.0128271289,0.0082588759,0.0063574992,-0.002946742,-0.012323528
CORR,incom01,-0.006636134,,-0.02952683,-0.068635279,0.0171202152,0.0192074653,0.0034868065,1,0.9596428105,-2.452959E-6,-0.01123678,-0.019229439,0.0055471487,0.0054002679,-0.010679677,0.2694179918,-0.0178646,0.0699868475,-0.031851449,0.0080958204,-0.017376972,0.0150849908,0.0633496951,-0.127741272,-0.058519553,0.0476957214,-0.096406049,-0.020302405,0.2866373377,-0.03723534,-0.001807192,-0.003541805,-0.06448833,-0.011876994,-0.036804149,-0.00175901,-0.00355508,-0.064478175,-0.011531648,-0.036061505,-0.001687901,-0.003570368,-0.064346281,-0.011767152
