_TYPE_,_NAME_,physician,food_desert,chob,chbmi,bmibpreg,abwt,gweek,prev_preg,incom01,income,Comp_Gesdbg,Comp_prghtng,Comp_peclmpg,Delivery,pregcomp,pregcomp2,husbeduc,mosmk,agebirth,chwest,chcal,chst,chpa,moage,mowest,mocal,mopa,mobmi,moshift,ses,supermarket,restaurant,fastfood,convenience,foodswamp,supermarketz,restaurantz,fastfoodz,conveniencez,foodswampz,supermarketa,restauranta,fastfooda,conveniencea,foodswampa
MEAN,,1265.2558279,5.1314439358,0,19.803604107,22.780957868,1.9835710211,1.9680547633,1.4058185967,6.9728465488,2.4402738163,0.0426697091,0.041756988,0.0314888762,0.2098117513,0.2742726754,0.0994865944,2.2039931546,1.3110096977,31.631003993,-0.002669491,2133.0363028,39.376594064,13.665125688,45.556075299,0.1136381215,1915.5928702,21.69406351,24.18625258,4.9535515986,0.6222219394,1.5365941846,7.0270829913,4.9009377187,0.6977258812,24.65261356,1.5393649972,7.0465408035,4.9053032483,0.6982357649,24.720308147,1.5421358097,7.0659986157,4.9096687779,0.6987456486,24.652802674
STD,,1048.6956757,2.9726377406,0,3.0394682787,3.6976028571,0.2615724636,0.3476227104,1.0639900217,1.4790310349,0.9085264339,0.2021228983,0.200044764,0.1746448016,0.4071973693,0.4461724855,0.299331312,0.6707744864,0.5425933346,3.7195530369,0.9908214255,730.54053235,21.238991261,9.5871945491,3.6438253761,0.8335147109,572.16805287,20.371122117,4.3340975657,6.1081973712,3.4985871137,5.0227752797,20.422356995,8.016955475,1.1970046401,42.029692433,5.0199996786,20.399738012,8.0120479796,1.1964699088,42.069730712,5.0210764181,20.408923578,8.0116108447,1.1964095744,42.029581517
N,,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765,8765
CORR,physician,1,0.1574311902,,0.0495453632,0.0190617034,0.0145485906,0.0157426706,0.0274197341,-0.164840285,-0.166069429,0.0174554065,0.0072446369,0.0092952215,0.0204874644,0.0154739656,0.0127123314,-0.16037687,-0.04394084,-0.13155587,0.0398802089,-0.010935803,0.0010657552,0.0102151908,-0.119375405,0.1262403993,0.0177975352,-0.039281181,0.0510337065,-0.034386191,-0.498358115,-0.176567946,-0.279180805,-0.257773425,-0.068180466,0.1810256497,-0.176949877,-0.279573426,-0.25823916,-0.068536761,0.1802205394,-0.177777,-0.281053881,-0.259327435,-0.068958385,0.1809427057
CORR,food_desert,0.1574311902,1,,0.0389763645,0.0206325041,-0.01729566,-0.000731726,-0.022164665,-0.124083214,-0.125710608,0.0066844512,0.0266797991,0.0114529347,0.0051970474,0.0108721989,0.0253427086,-0.013164177,-0.037940174,-0.088039242,0.0454927916,0.014633385,-0.006878275,-0.000651298,-0.081159701,0.1003418383,0.0111501954,-0.032763167,0.0451400632,0.0341048993,-0.309137269,-0.18308962,-0.21333776,-0.195498507,0.0238991433,0.1386358238,-0.183321805,-0.213499389,-0.1956736,0.023870489,0.1382148998,-0.183761193,-0.214058297,-0.196050081,0.0238744552,0.1385896713
CORR,chob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORR,chbmi,0.0495453632,0.0389763645,,1,0.235337115,0.0343289889,0.0114010184,-0.055368197,-0.041090473,-0.04254013,0.024872213,0.034830618,0.0218244357,0.0367609265,0.0479090902,0.0442057936,-0.040640561,0.0552688267,-0.103576862,-0.018027547,-0.044455395,0.1520928114,0.0873196924,0.087523222,0.0393517259,0.0067215847,-0.018403121,0.2621610042,0.0321134461,-0.075113133,0.0151797384,0.0035899246,0.0043514794,-0.003518714,-0.00094322,0.0152901585,0.0035813418,0.0042578453,-0.003458751,-0.00055139,0.0156607603,0.0034613206,0.0040134469,-0.003218676,-0.000873287
CORR,bmibpreg,0.0190617034,0.0206325041,,0.235337115,1,0.0472084067,0.005130732,0.0679622935,-0.093992232,-0.094050557,0.0688392597,0.0764469332,0.0377913297,0.1128612359,0.1323208851,0.1012119071,-0.074618129,0.0534781806,0.0921160073,0.0460952599,-0.011235125,0.0606876549,-0.030029072,0.0821515317,0.0769680852,-0.010523674,-0.13074009,0.8839077756,0.0830589457,-0.082513486,0.0374135097,0.0330197502,0.0401234886,0.0381618733,-0.008946843,0.0374164045,0.0330852982,0.0401232905,0.0382247861,-0.009182628,0.0372943033,0.0334286151,0.0403017638,0.0382001208,-0.009218425
CORR,abwt,0.0145485906,-0.01729566,,0.0343289889,0.0472084067,1,0.3681985102,0.0439487577,0.0048444301,0.0059649129,0.0024044458,-0.065835129,-0.119198959,-0.062656675,-0.070686909,-0.077271416,-0.021875765,-0.024334145,-0.000699954,0.013254123,0.0261551983,-0.007165165,0.0285781275,0.0050901185,0.0058562454,-0.001047477,0.0054823841,0.0327333247,-0.012273292,-0.006672813,0.0171843432,0.0236020189,0.0241786629,0.0054257463,-0.007440374,0.0172206906,0.0236377438,0.0242303187,0.0054757181,-0.007323661,0.0173385014,0.0237779785,0.0243397815,0.005538498,-0.007428862
CORR,gweek,0.0157426706,-0.000731726,,0.0114010184,0.005130732,0.3681985102,1,-0.009673739,-0.003549871,-0.005031434,-0.039133735,-0.066743314,-0.086243232,-0.04874284,-0.06900374,-0.087712235,-0.01537684,-0.017437652,0.0080204485,0.0132343543,0.0186797364,0.0001801135,0.0220011894,0.0302829618,0.0012679963,0.0000113621,-0.003556935,0.0033405892,-0.012633121,-0.003038713,-0.014144296,-0.011741589,-0.006942767,-0.026344718,0.0050937818,-0.0141094,-0.011713633,-0.006888734,-0.02630266,0.005285923,-0.013944416,-0.011501428,-0.006758187,-0.02620833,0.0051110857
