_TYPE_,_NAME_,cohort,white,sex,chage,chob,chbmi,chbmibase,bmibpreg,abwt,gweek,prev_preg,incom01,income,Comp_Gesdbg,Comp_prghtng,Comp_peclmpg,Delivery,pregcomp,pregcomp2,husbeduc,mosmk,agebirth,chwest,chcal,chst,chpa,moage,mowest,mocal,mopa,mobmi,moshift,ses,gotweight
MEAN,,1,0.9319427815,0.5390383767,11.558951415,0,18.741516164,18.741516164,22.158400792,1.9884050665,2.0040330204,1.0848824753,6.9643329762,2.4226479299,0.025458441,0.0407082992,0.0433549688,0.1975549814,0.2540802823,0.0891045434,2.1446215893,1.3837670931,28.377302708,-0.006994367,2173.2315583,51.134657281,17.664704522,40.620265927,0.096148716,1862.9852506,20.146760498,24.099865315,9.0192390793,0.1692416875,0.3152057471
STD,,0,0.2518520013,0.4984893821,1.6334838637,0,2.888360181,2.888360181,3.3483729898,0.2545114158,0.3622032513,1.009179675,1.4719418585,0.8969566059,0.1575178476,0.1976198233,0.2036613102,0.3981670517,0.435356677,0.2849035605,0.6881864175,0.6233047795,3.5316285761,0.9961990936,703.90355144,23.038777908,11.165355376,3.5494430065,0.8972286687,497.61741436,22.54635795,4.4918213609,11.609497521,3.4540272773,0.4646124051
N,,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869,15869
CORR,cohort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORR,white,,1,0.0040967895,-0.010644647,,-0.010332025,-0.010332025,-0.01890534,0.0329620752,0.007135377,-0.002969654,-0.005828896,-0.005124568,-0.0166876,-0.010173954,-0.008817483,-0.016113712,-0.023331438,-0.015604538,-0.023269444,0.0320271523,-0.036994748,0.0314455379,0.0262001489,-0.05367856,0.0258977013,-0.041563353,0.0285935289,-0.001148571,0.0300194232,-0.027687534,-0.004886349,-0.060495127,-0.018622538
CORR,sex,,0.0040967895,1,0.0273502031,,-0.005154567,-0.005154567,0.0000141295,-0.05883653,0.0078659633,0.0010237776,-0.000524949,0.0020015165,0.0090118449,0.0081764223,-0.001153595,-0.000281095,-0.000697722,0.0052359596,0.004001323,0.0021586538,-0.004772659,0.0019814071,-0.174292364,-0.045070354,-0.092715422,0.0073030607,0.0100022011,0.0057601414,-0.016409978,0.0048837002,0.010017328,-0.009498378,-0.012318029
CORR,chage,,-0.010644647,0.0273502031,1,,0.3689274415,0.3689274415,-0.049113701,-0.009622678,0.025906514,-0.113547786,-0.00622737,-0.005677884,-0.036058096,-0.008476335,0.0140472837,-0.03927982,-0.035269833,-0.008036707,-0.003247951,-0.000556759,-0.204993082,0.014264735,0.0089083142,0.1168593166,0.1677186416,0.2408886664,0.0186413493,-0.001655181,-0.008518709,0.043864117,5.8037895E-6,-0.023562024,-0.000022804
CORR,chob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORR,chbmi,,-0.010332025,-0.005154567,0.3689274415,,1,1,0.227905793,0.0259474412,0.0258047796,-0.033721444,-0.034758489,-0.035968356,0.0035386824,0.0220465481,0.0364307248,0.0170356575,0.0313064336,0.0381130568,-0.045751143,0.046692193,-0.080639749,-0.02246966,-0.06449478,0.0836221214,0.0298856601,0.0881660886,0.0205338579,-0.011910309,-0.003938448,0.2595280443,0.0315471605,-0.056497042,0.1179460697
CORR,chbmibase,,-0.010332025,-0.005154567,0.3689274415,,1,1,0.227905793,0.0259474412,0.0258047796,-0.033721444,-0.034758489,-0.035968356,0.0035386824,0.0220465481,0.0364307248,0.0170356575,0.0313064336,0.0381130568,-0.045751143,0.046692193,-0.080639749,-0.02246966,-0.06449478,0.0836221214,0.0298856601,0.0881660886,0.0205338579,-0.011910309,-0.003938448,0.2595280443,0.0315471605,-0.056497042,0.1179460697
