Parm,NImpute,Estimate,StdErr,LCLMean,UCLMean,DF,Min,Max,Theta0,tValue,Probt,mod,RR,LCI,UCI
INTERCEPT,5,-6.226307,0.319559,-6.85359,-5.59903,792.83,-6.329543,-6.143501,0,-19.48,<.0001,mom,0.0019767376,0.0010556607,0.0037014652
mowestq1,5,0.112551,0.095537,-0.07932,0.30442,50.218,0.050792,0.162918,0,1.18,0.2443,mom,1.1191296498,0.9237446883,1.3558412718
mowestq2,5,0.194604,0.110098,-0.02783,0.41704,40.469,0.140295,0.274689,0,1.77,0.0847,mom,1.2148301153,0.9725527027,1.5174624521
mowestq3,5,0.468181,0.118680,0.23068,0.70569,58.684,0.404756,0.528330,0,3.94,0.0002,mom,1.5970863817,1.2594503003,2.0252366529
mocalq1,5,-0.102511,0.094633,-0.29348,0.08845,42.075,-0.148743,-0.047806,0,-1.08,0.2849,mom,0.9025677732,0.7456657797,1.0924848739
mocalq2,5,-0.284437,0.094915,-0.47104,-0.09783,392.6,-0.333268,-0.269496,0,-3.00,0.0029,mom,0.7524377809,0.62435115,0.9068015878
mocalq3,5,-0.259751,0.106142,-0.46845,-0.05105,380.68,-0.287147,-0.220239,0,-2.45,0.0148,mom,0.7712437789,0.6259728839,0.950228008
mopaq0,5,0.338448,0.082033,0.17712,0.49978,357.29,0.313624,0.375703,0,4.13,<.0001,mom,1.4027690348,1.1937732819,1.6483540005
mopaq1,5,0.232316,0.084447,0.06579,0.39884,200.08,0.192402,0.271059,0,2.75,0.0065,mom,1.2615177047,1.0680077233,1.490089336
mopaq2,5,0.197615,0.094834,0.00595,0.38928,39.986,0.126757,0.246202,0,2.08,0.0436,mom,1.2184934165,1.0059632034,1.4759249653
mosmk2,5,0.176434,0.066667,0.04457,0.30830,133.35,0.141318,0.208927,0,2.65,0.0091,mom,1.1929552703,1.0455796576,1.361103639
mosmk3,5,0.341007,0.106977,0.12951,0.55251,139.95,0.301955,0.405568,0,3.19,0.0018,mom,1.4063633057,1.1382671933,1.7376041049
moshiftq1,5,0.164811,0.086263,-0.00704,0.33666,74.754,0.132446,0.227292,0,1.91,0.0599,mom,1.1791701942,0.9929816842,1.4002698832
moshiftq2,5,0.177858,0.087626,0.00148,0.35424,46.04,0.115166,0.220371,0,2.03,0.0482,mom,1.1946560674,1.001481398,1.4250919911
moshiftq3,5,0.236074,0.079566,0.07867,0.39348,130.62,0.188915,0.270551,0,2.97,0.0036,mom,1.2662681484,1.0818469813,1.4821273722
moage,5,0.000956,0.008105,-0.01511,0.01702,107.09,-0.002420,0.005553,0,0.12,0.9063,mom,1.0009563221,0.985001903,1.0171691605
cohort,5,0.000722,0.074258,-0.14674,0.14818,93.112,-0.034056,0.031405,0,0.01,0.9923,mom,1.0007221717,0.8635199012,1.1597241285
chage,5,0.107145,0.016488,0.07332,0.14097,27.039,0.096544,0.117543,0,6.50,<.0001,mom,1.1130951904,1.0760714744,1.1513927581
white,5,-0.082609,0.111997,-0.30285,0.13764,363.11,-0.129008,-0.036627,0,-0.74,0.4612,mom,0.92071135,0.7387076458,1.1475573521
sex,5,-0.458408,0.054083,-0.56448,-0.35233,1720.1,-0.472689,-0.446719,0,-8.48,<.0001,mom,0.6322894268,0.5686535568,0.7030465465
