Parm,NImpute,Estimate,StdErr,LCLMean,UCLMean,DF,Min,Max,Theta0,tValue,Probt,mod,RR,LCI,UCI
INTERCEPT,5,-6.017764,0.263645,-6.54695,-5.48858,51.422,-6.145163,-5.808051,0,-22.83,<.0001,swamp,0.0024351077,0.0014344866,0.0041337085
foodswampq1,5,0.003060,0.077673,-0.14929,0.15541,1600.2,-0.024471,0.015649,0,0.04,0.9686,swamp,1.0030650471,0.8613184231,1.1681388228
foodswampq2,5,-0.072454,0.097395,-0.26798,0.12307,51.014,-0.146203,-0.027125,0,-0.74,0.4603,swamp,0.9301086417,0.7649218007,1.1309680083
foodswampq3,5,-0.139171,0.078599,-0.29342,0.01508,944.18,-0.153195,-0.115496,0,-1.77,0.0769,swamp,0.8700792551,0.7457094747,1.0151914865
sesq0,5,0.469194,0.099538,0.27197,0.66641,112.13,0.408880,0.517094,0,4.71,<.0001,swamp,1.5987056882,1.3125535763,1.947242325
sesq1,5,0.348176,0.093278,0.16463,0.53173,304.78,0.330565,0.399143,0,3.73,0.0002,swamp,1.4164811061,1.1789519161,1.70186646
sesq2,5,0.213832,0.093579,0.02962,0.39805,276.49,0.182401,0.260573,0,2.29,0.0231,swamp,1.2384147241,1.0300581524,1.4889169368
heduc1,5,0.296954,0.088304,0.12342,0.47049,453.57,0.268023,0.321330,0,3.36,0.0008,swamp,1.3457528905,1.1313561893,1.6007786579
heduc2,5,0.136642,0.068006,0.00325,0.27004,1535,0.117681,0.154863,0,2.01,0.0447,swamp,1.1464172281,1.0032527845,1.3100112766
fincome1,5,0.156919,0.111262,-0.06124,0.37508,2858,0.133633,0.177164,0,1.41,0.1585,swamp,1.1699013485,0.9405943076,1.4551110443
fincome2,5,0.099689,0.113684,-0.13152,0.33090,33.324,0.013669,0.161753,0,0.88,0.3868,swamp,1.1048276432,0.8767645506,1.3922142728
fincome3,5,0.030877,0.108789,-0.18469,0.24644,111.37,-0.034795,0.082637,0,0.28,0.7771,swamp,1.0313586197,0.831363229,1.2794655396
midwest,5,0.005776,0.066136,-0.12388,0.13543,5514.4,-0.011889,0.011552,0,0.09,0.9304,swamp,1.0057928919,0.8834883681,1.1450284779
south,5,-0.021163,0.094241,-0.20811,0.16578,101.06,-0.082646,0.014355,0,-0.22,0.8228,swamp,0.9790589058,0.8121175589,1.180317222
west,5,-0.150487,0.100937,-0.34933,0.04835,238.8,-0.188125,-0.118133,0,-1.49,0.1373,swamp,0.8602885241,0.7051611099,1.0495422028
cohort,5,0.045781,0.065397,-0.08262,0.17418,693.6,0.027280,0.064051,0,0.70,0.4841,swamp,1.0468449285,0.9207026341,1.190269544
chage,5,0.098713,0.011503,0.07613,0.12130,732.68,0.095675,0.102883,0,8.58,<.0001,swamp,1.1037493079,1.0791023147,1.1289592451
white,5,-0.097169,0.120675,-0.33461,0.14027,312.89,-0.157751,-0.063519,0,-0.81,0.4213,swamp,0.907402661,0.7156204036,1.1505814886
sex,5,-0.437462,0.059877,-0.55583,-0.31909,141.66,-0.456947,-0.411227,0,-7.31,<.0001,swamp,0.6456732926,0.5735966037,0.7268069546
INTERCEPT,5,-5.112877,0.247773,-5.60030,-4.62545,327.61,-5.193625,-5.008736,0,-20.64,<.0001,swamp,0.006018741,0.0036967403,0.0097992395
foodswamp_m,5,-0.001217,0.000656,-0.00250,0.00007,686.04,-0.001440,-0.001033,0,-1.86,0.0640,swamp,0.9987837654,0.9974982371,1.0000709504
ses_m,5,-0.062741,0.012466,-0.08734,-0.03814,182.75,-0.066656,-0.055292,0,-5.03,<.0001,swamp,0.9391869499,0.9163680467,0.9625740771
husbeduc,5,-0.147710,0.043775,-0.23368,-0.06174,596.15,-0.159944,-0.132056,0,-3.37,0.0008,swamp,0.8626813799,0.7916138671,0.9401290126
income,5,-0.054834,0.035082,-0.12388,0.01421,295.1,-0.070592,-0.046105,0,-1.56,0.1191,swamp,0.9466422336,0.8834880065,1.0143109038
midwest,5,-0.006072,0.065197,-0.13392,0.12178,2392.5,-0.021454,0.008358,0,-0.09,0.9258,swamp,0.9939468735,0.874660397,1.1295016794
south,5,-0.033810,0.093930,-0.22051,0.15289,86.995,-0.097359,0.006705,0,-0.36,0.7198,swamp,0.9667548469,0.80211195,1.1651926318
west,5,-0.155099,0.101296,-0.35477,0.04457,213.93,-0.191409,-0.122136,0,-1.53,0.1272,swamp,0.8563301817,0.7013377456,1.0455752376
cohort,5,0.068105,0.064966,-0.05940,0.19561,908.13,0.051761,0.086974,0,1.05,0.2948,swamp,1.0704776344,0.9423333151,1.2160478118
chage,5,0.098628,0.011530,0.07599,0.12127,656.9,0.095448,0.102903,0,8.55,<.0001,swamp,1.1036558007,1.078950558,1.1289267312
white,5,-0.098406,0.121050,-0.33667,0.13986,284.36,-0.160353,-0.064652,0,-0.81,0.4169,swamp,0.9062809021,0.7141418611,1.1501147296
sex,5,-0.437432,0.060245,-0.55668,-0.31819,123.56,-0.457537,-0.410770,0,-7.26,<.0001,swamp,0.6456926123,0.5731095228,0.727468194
INTERCEPT,5,-6.201305,0.286352,-6.77046,-5.63215,87.053,-6.318973,-6.031565,0,-21.66,<.0001,ind s,0.0020267844,0.0011471719,0.0035808541
