Parm,NImpute,Estimate,StdErr,LCLMean,UCLMean,DF,Min,Max,Theta0,tValue,Probt,mod,RR,LCI,UCI
INTERCEPT,5,-4.165244,0.238181,-4.65739,-3.67309,23.487,-4.308224,-3.943885,0,-17.49,<.0001,mom,0.0155259209,0.0094911552,0.0253977745
mowestq1,5,0.020429,0.046770,-0.07127,0.11213,3688.1,0.012664,0.032397,0,0.44,0.6623,mom,1.0206387266,0.9312113526,1.1186541137
mowestq2,5,0.082445,0.057400,-0.03182,0.19671,78.283,0.053550,0.113793,0,1.44,0.1549,mom,1.0859390251,0.968678817,1.2173937795
mowestq3,5,0.118812,0.063644,-0.00707,0.24469,133.84,0.083000,0.139666,0,1.87,0.0641,mom,1.1261582385,0.9929597615,1.2772243421
mocalq1,5,-0.062276,0.050138,-0.16121,0.03665,181.06,-0.078662,-0.033641,0,-1.24,0.2158,mom,0.9396238897,0.8511173053,1.037334159
mocalq2,5,-0.087065,0.057746,-0.20203,0.02790,77.948,-0.118942,-0.060335,0,-1.51,0.1357,mom,0.9166173719,0.8170709933,1.0282918049
mocalq3,5,-0.068088,0.073469,-0.21924,0.08306,25.535,-0.094725,0.006592,0,-0.93,0.3627,mom,0.9341783948,0.8031296592,1.0866106902
mopaq0,5,-0.101909,0.048748,-0.19823,-0.00559,150.14,-0.122458,-0.081100,0,-2.09,0.0383,mom,0.9031116075,0.8201808635,0.9944277073
mopaq1,5,-0.059777,0.049285,-0.15807,0.03851,70.234,-0.085928,-0.037510,0,-1.21,0.2292,mom,0.9419744901,0.8537932801,1.0392632042
mopaq2,5,-0.095741,0.053452,-0.20450,0.01302,32.886,-0.125757,-0.058409,0,-1.79,0.0825,mom,0.9086991401,0.8150518209,1.0131062911
mosmk2,5,0.152813,0.037565,0.07903,0.22660,559.35,0.138385,0.166377,0,4.07,<.0001,mom,1.1651072655,1.0822330947,1.2543276922
mosmk3,5,0.318200,0.068956,0.18147,0.45493,105.04,0.272551,0.343815,0,4.61,<.0001,mom,1.3746508694,1.1989816993,1.5760582616
moshiftq1,5,0.161735,0.052268,0.05634,0.26713,43.214,0.126780,0.198336,0,3.09,0.0035,mom,1.175548117,1.0579587279,1.3062072639
moshiftq2,5,0.072672,0.045592,-0.01694,0.16228,427.65,0.050520,0.084146,0,1.59,0.1117,mom,1.0753776711,0.9832023892,1.1761943912
moshiftq3,5,0.150399,0.052756,0.04293,0.25786,31.973,0.103171,0.175088,0,2.85,0.0076,mom,1.1622975911,1.0438695898,1.2941613621
moage,5,0.007671,0.005565,-0.00373,0.01907,28.13,0.003678,0.011878,0,1.38,0.1790,mom,1.0077003537,0.9962804444,1.0192511641
cohort,5,0.045912,0.041562,-0.03606,0.12788,194.81,0.027857,0.062315,0,1.10,0.2707,mom,1.0469819039,0.9645852049,1.1364170852
chage,5,0.067165,0.009235,0.04844,0.08589,36.302,0.063253,0.074361,0,7.27,<.0001,mom,1.0694722913,1.0496332672,1.0896862911
