Parm,NImpute,Estimate,StdErr,LCLMean,UCLMean,DF,Min,Max,Theta0,tValue,Probt,mod,RR,LCI,UCI
INTERCEPT,5,-3.939889,0.166676,-4.28577,-3.59401,21.768,-4.020564,-3.767304,0,-23.64,<.0001,swamp,0.0194503686,0.0137630509,0.0274878616
foodswampq1,5,0.070387,0.047083,-0.02250,0.16327,186.01,0.053594,0.095641,0,1.49,0.1366,swamp,1.0729237508,0.9777539662,1.1773568963
foodswampq2,5,0.034429,0.052062,-0.06869,0.13755,115.94,0.022221,0.070848,0,0.66,0.5097,swamp,1.0350287642,0.9336189491,1.147453727
foodswampq3,5,-0.015504,0.051103,-0.11774,0.08674,59.485,-0.054825,0.008527,0,-0.30,0.7627,swamp,0.984615481,0.8889231797,1.0906090285
sesq0,5,0.073860,0.060205,-0.04812,0.19584,37.018,0.042040,0.120975,0,1.23,0.2276,swamp,1.0766556264,0.953015259,1.216336598
sesq1,5,0.069760,0.055563,-0.04160,0.18112,54.889,0.031480,0.104484,0,1.26,0.2146,swamp,1.0722505719,0.9592576475,1.1985531644
sesq2,5,0.066595,0.047303,-0.02621,0.15940,1212.7,0.051612,0.075952,0,1.41,0.1594,swamp,1.0688629464,0.9741311894,1.1728071235
heduc1,5,0.231153,0.054783,0.12234,0.33996,91.711,0.210801,0.262622,0,4.22,<.0001,swamp,1.2600516116,1.1301426683,1.4048934781
heduc2,5,0.125196,0.041234,0.04335,0.20704,96.543,0.100370,0.139995,0,3.04,0.0031,swamp,1.1333707824,1.0443076214,1.2300296425
fincome1,5,0.076476,0.070926,-0.06548,0.21844,58.277,0.037890,0.111963,0,1.08,0.2854,swamp,1.0794758304,0.9366137269,1.2441287535
fincome2,5,0.021398,0.058363,-0.09598,0.13877,47.557,-0.008667,0.062373,0,0.37,0.7155,swamp,1.0216281488,0.9084848679,1.1488623655
fincome3,5,-0.017653,0.053774,-0.12319,0.08788,929,-0.030169,-0.002060,0,-0.33,0.7428,swamp,0.9825014968,0.8840995367,1.0918557822
midwest,5,-0.038283,0.039343,-0.11559,0.03902,485.34,-0.049248,-0.020196,0,-0.97,0.3310,swamp,0.9624404774,0.8908431609,1.0397920904
