"","parameter","mod","group","subgroup","exposure","PAR_estimate","PAR_min","PAR_max","Q_stat","p_het"
"1","par","gwt","age","child","gotweight",0.17313,0.15855,0.19256,"0.06",0.79973
"2","par","gwt","sex","female","gotweight",0.18521,0.16236,0.20148,"0.00",0.9627
"3","par","gwt","sex","male","gotweight",0.18772,0.16233,0.21058,"0.00",0.9627
"4","par","gwt","mob","moob","gotweight",0.14524,0.07691,0.17701,"0.01",0.88926
"5","par","gwt","mob","nomoob","gotweight",0.1336,0.11633,0.1503,"0.01",0.88926
"6","par","gwt","age","teen","gotweight",0.18897,0.17087,0.21402,"0.06",0.79973
"7","par","life","age","child","chwest",0.2704,0.23027,0.33885,"0.76",0.38031
"8","par","life","age","child","chwestq1",0.01465,0.01009,0.02153,"0.06",0.79514
"9","par","life","age","child","chwestq2",0.08237,0.06323,0.11276,"0.30",0.58125
"10","par","life","age","child","chwestq3",0.17338,0.14881,0.21378,"2.29",0.12939
"11","par","life","age","child","chst",0,0,0,"1.26",0.26013
"12","par","life","age","child","chstq1",0,0,0,"0.67",0.41098
"13","par","life","age","child","chstq2",0,0,0,"1.23",0.26577
"14","par","life","age","child","chstq3",0,0,0,"0.83",0.35973
"15","par","life","age","child","chpa",0.11831,0.07828,0.16814,"0.00",0.94192
"16","par","life","age","child","chpaq0",0.08478,0.0638,0.11097,"0.10",0.75067
"17","par","life","age","child","chpaq1",0.03353,0.01428,0.05717,"0.01",0.89357
"18","par","life","age","child","chpaq2",0,0,0,"0.12",0.72089
"19","par","life","age","child","life",0.35888,0.31606,0.43002,"0.03",0.85749
"20","par","life","sex","female","chwest",0.21525,0.19177,0.23689,"0.78",0.37656
"21","par","life","sex","female","chwestq1",0.02728,0.0184,0.03586,"0.07",0.79047
"22","par","life","sex","female","chwestq2",0.0636,0.05638,0.07269,"0.17",0.67855
"23","par","life","sex","female","chwestq3",0.12437,0.11698,0.13263,"2.04",0.15263
"24","par","life","sex","female","chst",0.11623,0.10456,0.14791,"0.88",0.34657
"25","par","life","sex","female","chstq1",0.01336,0.00687,0.02956,"1.16",0.28134
"26","par","life","sex","female","chstq2",0.04717,0.035,0.06062,"0.28",0.59211
"27","par","life","sex","female","chstq3",0.0557,0.04327,0.06837,"0.59",0.44218
"28","par","life","sex","female","chpa",0.15935,0.12546,0.22201,"0.71",0.39677
"29","par","life","sex","female","chpaq0",0.10816,0.09495,0.12934,"1.97",0.15969
"30","par","life","sex","female","chpaq1",0.0254,0.01067,0.04418,"0.00",0.96312
"31","par","life","sex","female","chpaq2",0.0258,0.01275,0.0485,"0.39",0.52785
"32","par","life","sex","female","life",0.41851,0.3807,0.44399,"0.11",0.73181
"33","par","life","sex","male","chwest",0.1266,0.06207,0.16448,"0.78",0.37656
"34","par","life","sex","male","chwestq1",0.01717,0,0.02942,"0.07",0.79047
"35","par","life","sex","male","chwestq2",0.04712,0.02428,0.05931,"0.17",0.67855
"36","par","life","sex","male","chwestq3",0.06231,0.03779,0.0779,"2.04",0.15263
"37","par","life","sex","male","chst",0.2239,0.15992,0.27831,"0.88",0.34657
"38","par","life","sex","male","chstq1",0.05623,0.03222,0.07078,"1.16",0.28134
"39","par","life","sex","male","chstq2",0.07109,0.05592,0.09625,"0.28",0.59211
"40","par","life","sex","male","chstq3",0.09658,0.07179,0.12101,"0.59",0.44218
"41","par","life","sex","male","chpa",0.07811,0.05271,0.09971,"0.71",0.39677
"42","par","life","sex","male","chpaq0",0.04927,0.03187,0.06184,"1.97",0.15969
"43","par","life","sex","male","chpaq1",0.02715,0.01723,0.03612,"0.00",0.96312
"44","par","life","sex","male","chpaq2",0.0017,0,0.00849,"0.39",0.52785
"45","par","life","sex","male","life",0.37619,0.34275,0.43623,"0.11",0.73181
"46","par","life","mob","moob","chwest",0.11135,0.07506,0.14865,"0.20",0.64698
"47","par","life","mob","moob","chwestq1",0,0,0,"0.55",0.45542
"48","par","life","mob","moob","chwestq2",0.02054,0.00974,0.03499,"0.65",0.4189
"49","par","life","mob","moob","chwestq3",0.09081,0.06532,0.11366,"0.08",0.77237
"50","par","life","mob","moob","chst",0.23465,0.15292,0.30081,"0.66",0.41634
"51","par","life","mob","moob","chstq1",0.03409,0.01286,0.04493,"0.00",0.99759
"52","par","life","mob","moob","chstq2",0.10426,0.06924,0.13245,"1.74",0.18626
"53","par","life","mob","moob","chstq3",0.0963,0.07082,0.13052,"0.39",0.53127
"54","par","life","mob","moob","chpa",0.07064,0.0256,0.09787,"0.21",0.63973
"55","par","life","mob","moob","chpaq0",0.03878,0.0256,0.04946,"1.19",0.27387
"56","par","life","mob","moob","chpaq1",0.01956,0,0.03242,"0.03",0.84955
"57","par","life","mob","moob","chpaq2",0.0123,0,0.02533,"0.02",0.86268
"58","par","life","mob","moob","life",0.36683,0.28522,0.44797,"0.00",0.93032
"59","par","life","mob","nomoob","chwest",0.16314,0.11975,0.18785,"0.20",0.64698
"60","par","life","mob","nomoob","chwestq1",0.0312,0.01471,0.04319,"0.55",0.45542
"61","par","life","mob","nomoob","chwestq2",0.05622,0.0398,0.06462,"0.65",0.4189
"62","par","life","mob","nomoob","chwestq3",0.07571,0.06525,0.08447,"0.08",0.77237
"63","par","life","mob","nomoob","chst",0.12378,0.05487,0.17098,"0.66",0.41634
"64","par","life","mob","nomoob","chstq1",0.03422,0.01512,0.05275,"0.00",0.99759
"65","par","life","mob","nomoob","chstq2",0.03383,0.01849,0.0578,"1.74",0.18626
"66","par","life","mob","nomoob","chstq3",0.05573,0.02126,0.0865,"0.39",0.53127
"67","par","life","mob","nomoob","chpa",0.11593,0.09242,0.12826,"0.21",0.63973
"68","par","life","mob","nomoob","chpaq0",0.08322,0.07671,0.08713,"1.19",0.27387
"69","par","life","mob","nomoob","chpaq1",0.02734,0.01571,0.03788,"0.03",0.84955
"70","par","life","mob","nomoob","chpaq2",0.00537,0,0.01354,"0.02",0.86268
"71","par","life","mob","nomoob","life",0.35327,0.31469,0.38973,"0.00",0.93032
"72","par","life","age","teen","chwest",0.1581,0.11694,0.19141,"0.76",0.38031
"73","par","life","age","teen","chwestq1",0.02665,0.00851,0.03753,"0.06",0.79514
"74","par","life","age","teen","chwestq2",0.05291,0.04023,0.06308,"0.30",0.58125
"75","par","life","age","teen","chwestq3",0.07854,0.06388,0.09196,"2.29",0.12939
"76","par","life","age","teen","chst",0.18753,0.15563,0.23685,"1.26",0.26013
"77","par","life","age","teen","chstq1",0.04019,0.02324,0.05958,"0.67",0.41098
"78","par","life","age","teen","chstq2",0.06548,0.05809,0.08964,"1.23",0.26577
"79","par","life","age","teen","chstq3",0.08185,0.073,0.09639,"0.83",0.35973
"80","par","life","age","teen","chpa",0.109,0.08632,0.13026,"0.00",0.94192
"81","par","life","age","teen","chpaq0",0.06494,0.06097,0.06977,"0.10",0.75067
"82","par","life","age","teen","chpaq1",0.02673,0.01987,0.03485,"0.01",0.89357
"83","par","life","age","teen","chpaq2",0.01734,0.00152,0.03158,"0.12",0.72089
"84","par","life","age","teen","life",0.39151,0.35168,0.4295,"0.03",0.85749
"85","par","mom","age","child","mowest",0.2255,0.18581,0.2746,"0.01",0.88772
"86","par","mom","age","child","mowestq1",0.02336,0.01018,0.04742,"0.01",0.90834
"87","par","mom","age","child","mowestq2",0.05373,0.03683,0.07355,"0.00",0.94186
"88","par","mom","age","child","mowestq3",0.14841,0.12549,0.18145,"0.09",0.75932
"89","par","mom","age","child","mopa",0.06819,0.02977,0.1625,"0.78",0.37596
"90","par","mom","age","child","mopaq0",0.01369,0,0.03983,"1.68",0.19378
"91","par","mom","age","child","mopaq1",0.04113,0.02413,0.07289,"0.04",0.83089
"92","par","mom","age","child","mopaq2",0.01336,0,0.04978,"0.43",0.50896
"93","par","mom","age","child","mosmk",0.00782,0,0.02697,"1.71",0.19043
"94","par","mom","age","child","mosmk2",0.00782,0,0.02697,"0.75",0.3845
"95","par","mom","age","child","mosmk3",0,0,0,"1.69",0.19277
"96","par","mom","age","child","moshift",0.1252,0.10852,0.14561,"0.00",0.93286
"97","par","mom","age","child","moshiftq1",0.08605,0.07621,0.09419,"1.89",0.16906
"98","par","mom","age","child","moshiftq2",0.03667,0.02445,0.04855,"0.00",0.94085
"99","par","mom","age","child","moshiftq3",0.00248,0,0.01231,"1.37",0.2406
"100","par","mom","age","child","moob",0.20423,0.19103,0.21772,"0.08",0.77383
"101","par","mom","age","child","mom",0.42745,0.37503,0.47726,"0.14",0.70634
"102","par","mom","sex","female","mowest",0.31163,0.27,0.35314,"3.61",0.05729
"103","par","mom","sex","female","mowestq1",0.03497,0.02391,0.04652,"0.24",0.62329
"104","par","mom","sex","female","mowestq2",0.09687,0.07774,0.1192,"4.22",0.03973
"105","par","mom","sex","female","mowestq3",0.17978,0.15569,0.20402,"3.64",0.05612
"106","par","mom","sex","female","mopa",0.12027,0.08533,0.14399,"1.22",0.26762
"107","par","mom","sex","female","mopaq0",0.07405,0.06397,0.08318,"0.10",0.74652
"108","par","mom","sex","female","mopaq1",0.02002,0.00991,0.03779,"2.25",0.13356
"109","par","mom","sex","female","mopaq2",0.0262,0.00375,0.04221,"0.60",0.4384
"110","par","mom","sex","female","mosmk",0.06343,0.04584,0.07466,"0.01",0.91823
"111","par","mom","sex","female","mosmk2",0.03786,0.02228,0.04999,"0.06",0.79547
"112","par","mom","sex","female","mosmk3",0.02557,0.01894,0.03223,"0.08",0.77541
"113","par","mom","sex","female","moshift",0.15298,0.12877,0.17023,"0.17",0.67795
"114","par","mom","sex","female","moshiftq1",0.02374,0.01416,0.03454,"0.29",0.58509
"115","par","mom","sex","female","moshiftq2",0.05134,0.04354,0.06202,"0.25",0.61248
"116","par","mom","sex","female","moshiftq3",0.0779,0.06492,0.08799,"0.88",0.34753
"117","par","mom","sex","female","moob",0.2417,0.23258,0.24708,"7.86",0.00504
"118","par","mom","sex","female","mom",0.51768,0.47719,0.56542,"0.67",0.41248
"119","par","mom","sex","male","mowest",0.09996,0.05725,0.1365,"3.61",0.05729
"120","par","mom","sex","male","mowestq1",0.01647,0,0.02515,"0.24",0.62329
"121","par","mom","sex","male","mowestq2",0.00595,0,0.01651,"4.22",0.03973
"122","par","mom","sex","male","mowestq3",0.07754,0.05725,0.09483,"3.64",0.05612
"123","par","mom","sex","male","mopa",0.22372,0.20459,0.24788,"1.22",0.26762
"124","par","mom","sex","male","mopaq0",0.08726,0.07109,0.09838,"0.10",0.74652
"125","par","mom","sex","male","mopaq1",0.07861,0.07063,0.08533,"2.25",0.13356
"126","par","mom","sex","male","mopaq2",0.05785,0.04644,0.0708,"0.60",0.4384
"127","par","mom","sex","male","mosmk",0.06736,0.05982,0.07422,"0.01",0.91823
"128","par","mom","sex","male","mosmk2",0.04654,0.04187,0.05406,"0.06",0.79547
"129","par","mom","sex","male","mosmk3",0.02082,0.01795,0.02436,"0.08",0.77541
"130","par","mom","sex","male","moshift",0.11679,0.08084,0.164,"0.17",0.67795
"131","par","mom","sex","male","moshiftq1",0.0426,0.03425,0.05734,"0.29",0.58509
"132","par","mom","sex","male","moshiftq2",0.03209,0.01344,0.04931,"0.25",0.61248
"133","par","mom","sex","male","moshiftq3",0.0421,0.03316,0.05735,"0.88",0.34753
"134","par","mom","sex","male","moob",0.15862,0.1461,0.1681,"7.86",0.00504
"135","par","mom","sex","male","mom",0.4332,0.41558,0.45053,"0.67",0.41248
"136","par","mom","mob","moob","mowest",0.06832,0.03322,0.10523,"0.15",0.69471
"137","par","mom","mob","moob","mowestq1",0,0,0,"0.45",0.50178
"138","par","mom","mob","moob","mowestq2",0.05665,0.03322,0.07167,"0.80",0.37035
"139","par","mom","mob","moob","mowestq3",0.01167,0,0.03356,"0.92",0.33513
"140","par","mom","mob","moob","mopa",0.14238,0.03403,0.20221,"0.07",0.79031
"141","par","mom","mob","moob","mopaq0",0.07512,0.03403,0.11533,"0.34",0.55708
"142","par","mom","mob","moob","mopaq1",0.03668,0,0.05672,"0.00",0.92911
"143","par","mom","mob","moob","mopaq2",0.03058,0,0.05946,"0.01",0.90985
"144","par","mom","mob","moob","mosmk",0.05119,0.0386,0.06504,"0.15",0.68962
"145","par","mom","mob","moob","mosmk2",0.0434,0.02947,0.05382,"0.01",0.89156
"146","par","mom","mob","moob","mosmk3",0.00779,0.00135,0.01122,"1.71",0.19069
"147","par","mom","mob","moob","moshift",0.05746,0.01642,0.10373,"0.30",0.58272
"148","par","mom","mob","moob","moshiftq1",0.02348,0.01404,0.04355,"0.11",0.74007
"149","par","mom","mob","moob","moshiftq2",0.01438,0.00226,0.03494,"0.30",0.579
"150","par","mom","mob","moob","moshiftq3",0.0196,0.00011,0.03567,"0.18",0.66479
"151","par","mom","mob","moob","mom",0.2861,0.21598,0.33878,"0.15",0.69635
"152","par","mom","mob","nomoob","mowest",0.12725,0.08814,0.17339,"0.15",0.69471
"153","par","mom","mob","nomoob","mowestq1",0.02752,0.011,0.03945,"0.45",0.50178
"154","par","mom","mob","nomoob","mowestq2",0.00847,0,0.02693,"0.80",0.37035
"155","par","mom","mob","nomoob","mowestq3",0.09127,0.07362,0.10702,"0.92",0.33513
"156","par","mom","mob","nomoob","mopa",0.10422,0.0968,0.12135,"0.07",0.79031
"157","par","mom","mob","nomoob","mopaq0",0.03624,0.02688,0.04194,"0.34",0.55708
"158","par","mom","mob","nomoob","mopaq1",0.03197,0.02555,0.03808,"0.00",0.92911
"159","par","mom","mob","nomoob","mopaq2",0.03601,0.02376,0.04308,"0.01",0.90985
"160","par","mom","mob","nomoob","mosmk",0.06785,0.05197,0.07613,"0.15",0.68962
"161","par","mom","mob","nomoob","mosmk2",0.03836,0.02279,0.04838,"0.01",0.89156
"162","par","mom","mob","nomoob","mosmk3",0.02949,0.02707,0.03464,"1.71",0.19069
"163","par","mom","mob","nomoob","moshift",0.11476,0.085,0.14105,"0.30",0.58272
"164","par","mom","mob","nomoob","moshiftq1",0.03596,0.02841,0.04621,"0.11",0.74007
"165","par","mom","mob","nomoob","moshiftq2",0.03816,0.02257,0.04742,"0.30",0.579
"166","par","mom","mob","nomoob","moshiftq3",0.04064,0.03094,0.0483,"0.18",0.66479
"167","par","mom","mob","nomoob","mom",0.35466,0.34199,0.39242,"0.15",0.69635
"168","par","mom","age","teen","mowest",0.20604,0.17646,0.25021,"0.01",0.88772
"169","par","mom","age","teen","mowestq1",0.02898,0.01583,0.03983,"0.01",0.90834
"170","par","mom","age","teen","mowestq2",0.04954,0.03706,0.06682,"0.00",0.94186
"171","par","mom","age","teen","mowestq3",0.12752,0.11364,0.14428,"0.09",0.75932
"172","par","mom","age","teen","mopa",0.19306,0.16397,0.21686,"0.78",0.37596
"173","par","mom","age","teen","mopaq0",0.08842,0.07981,0.1028,"1.68",0.19378
"174","par","mom","age","teen","mopaq1",0.05336,0.04614,0.06366,"0.04",0.83089
"175","par","mom","age","teen","mopaq2",0.05128,0.0303,0.06845,"0.43",0.50896
"176","par","mom","age","teen","mosmk",0.075,0.06499,0.08469,"1.71",0.19043
"177","par","mom","age","teen","mosmk2",0.04576,0.03575,0.05182,"0.75",0.3845
"178","par","mom","age","teen","mosmk3",0.02923,0.02647,0.03465,"1.69",0.19277
"179","par","mom","age","teen","moshift",0.13438,0.1008,0.17003,"0.00",0.93286
"180","par","mom","age","teen","moshiftq1",0.02984,0.02223,0.04772,"1.89",0.16906
"181","par","mom","age","teen","moshiftq2",0.04038,0.02587,0.05038,"0.00",0.94085
"182","par","mom","age","teen","moshiftq3",0.06415,0.0527,0.07193,"1.37",0.2406
"183","par","mom","age","teen","moob",0.19334,0.18792,0.19947,"0.08",0.77383
"184","par","mom","age","teen","mom",0.48253,0.44156,0.52119,"0.14",0.70634
"185","par","socio","age","child","heduc",0.25338,0.1789,0.29324,"0.63",0.42394
"186","par","socio","age","child","heduc1",0.09949,0.08382,0.11575,"0.85",0.35507
"187","par","socio","age","child","heduc2",0.15389,0.09508,0.19049,"0.33",0.56164
"188","par","socio","age","child","fincome",0.16737,0.06137,0.23054,"0.00",0.99052
"189","par","socio","age","child","fincome1",0.03658,0.02234,0.05252,"0.02",0.86602
"190","par","socio","age","child","fincome2",0.09645,0.03054,0.15909,"0.00",0.96587
"191","par","socio","age","child","fincome3",0.03433,0.00346,0.06395,"0.00",0.99355
"192","par","socio","age","child","ses",0.32596,0.27398,0.37249,"0.78",0.37569
"193","par","socio","age","child","sesq0",0.1618,0.14235,0.18372,"0.97",0.32258
"194","par","socio","age","child","sesq1",0.10125,0.07129,0.12614,"0.25",0.61482
"195","par","socio","age","child","sesq2",0.0629,0.06033,0.06678,"0.29",0.58785
"196","par","socio","age","child","soc",0.5148,0.47387,0.55196,"0.92",0.33717
"197","par","socio","sex","female","heduc",0.1783,0.13826,0.2248,"0.00",0.93457
"198","par","socio","sex","female","heduc1",0.07453,0.06483,0.085,"0.22",0.63331
"199","par","socio","sex","female","heduc2",0.10377,0.06967,0.1398,"0.01",0.91514
"200","par","socio","sex","female","fincome",0.24194,0.18302,0.30108,"0.75",0.38371
"201","par","socio","sex","female","fincome1",0.04613,0.03693,0.05991,"0.02",0.87696
"202","par","socio","sex","female","fincome2",0.1468,0.09721,0.19153,"1.25",0.26335
"203","par","socio","sex","female","fincome3",0.04901,0.03388,0.06787,"0.23",0.63006
"204","par","socio","sex","female","ses",0.24041,0.21005,0.28319,"0.01",0.90508
"205","par","socio","sex","female","sesq0",0.12155,0.10703,0.1375,"0.09",0.76108
"206","par","socio","sex","female","sesq1",0.08242,0.07784,0.09069,"0.03",0.85189
"207","par","socio","sex","female","sesq2",0.03644,0.02358,0.06446,"0.05",0.81503
"208","par","socio","sex","female","soc",0.46779,0.41308,0.50031,"0.73",0.3914
"209","par","socio","sex","male","heduc",0.17094,0.15459,0.19156,"0.00",0.93457
"210","par","socio","sex","male","heduc1",0.05955,0.05406,0.06842,"0.22",0.63331
"211","par","socio","sex","male","heduc2",0.11139,0.08617,0.13111,"0.01",0.91514
"212","par","socio","sex","male","fincome",0.11904,0.07641,0.16311,"0.75",0.38371
"213","par","socio","sex","male","fincome1",0.04138,0.02856,0.0513,"0.02",0.87696
"214","par","socio","sex","male","fincome2",0.0522,0.03788,0.06535,"1.25",0.26335
"215","par","socio","sex","male","fincome3",0.02546,0.00845,0.05659,"0.23",0.63006
"216","par","socio","sex","male","ses",0.22864,0.21442,0.2421,"0.01",0.90508
"217","par","socio","sex","male","sesq0",0.10769,0.086,0.11711,"0.09",0.76108
"218","par","socio","sex","male","sesq1",0.07503,0.06586,0.08557,"0.03",0.85189
"219","par","socio","sex","male","sesq2",0.04592,0.03942,0.04831,"0.05",0.81503
"220","par","socio","sex","male","soc",0.37213,0.33941,0.40248,"0.73",0.3914
"221","par","socio","mob","moob","heduc",0.03358,0,0.16312,"1.26",0.26166
"222","par","socio","mob","moob","heduc1",0.00641,0,0.02849,"2.91",0.08772
"223","par","socio","mob","moob","heduc2",0.02717,0,0.13463,"0.55",0.45591
"224","par","socio","mob","moob","fincome",0.11377,0,0.19689,"0.00",0.98332
"225","par","socio","mob","moob","fincome1",0.03686,0,0.06702,"0.01",0.90536
"226","par","socio","mob","moob","fincome2",0.05032,0,0.09753,"0.02",0.88247
"227","par","socio","mob","moob","fincome3",0.0266,0,0.05022,"0.01",0.90833
"228","par","socio","mob","moob","ses",0.28078,0.2483,0.31428,"0.88",0.34606
"229","par","socio","mob","moob","sesq0",0.14613,0.12721,0.16491,"1.46",0.2254
"230","par","socio","mob","moob","sesq1",0.06919,0.05691,0.08756,"0.00",0.96967
