"category","exposure","Male PAR (95% CI)","Female PAR (95% CI)","p-value* (PAR/sex)","Male RR (95% CI)","Female RR (95% CI)","p-value* (RR/sex)","Child PAR (95% CI)","Teen PAR (95% CI)","p-value* (PAR/age)","Child RR (95% CI)","Teen RR (95% CI)","p-value* (RR/age)","Mom Obese PAR (95% CI)","Mom Not Obese PAR (95% CI)","p-value* (PAR/mob)","Mom Obese RR (95% CI)","Mom Not Obese RR (95% CI)","p-value* (RR/mob)"
"Personal","Western diet score Q2 vs. Q1","1.72 (0.00, 2.94)","2.73 (1.84, 3.59)","=""0.79""","1.07 (0.83, 1.37)","1.13 (0.89, 1.44)","=""0.73""","1.47 (1.01, 2.15)","2.66 (0.85, 3.75)","=""0.80""","1.08 (0.72, 1.62)","1.12 (0.91, 1.38)","=""0.87""",NA,"3.12 (1.47, 4.32)","=""NA""","0.90 (0.66, 1.24)","1.14 (0.93, 1.41)","=""0.21"""
"Personal","Western diet score Q3 vs. Q1","4.71 (2.43, 5.93)","6.36 (5.64, 7.27)","=""0.68""","1.23 (0.94, 1.62)","1.36 (1.05, 1.75)","=""0.62""","8.24 (6.32, 11.28)","5.29 (4.02, 6.31)","=""0.58""","1.54 (0.91, 2.61)","1.27 (1.02, 1.58)","=""0.50""","2.05 (0.97, 3.50)","5.62 (3.98, 6.46)","=""0.42""","1.10 (0.79, 1.51)","1.29 (1.03, 1.62)","=""0.41"""
"Personal","Western diet score Q4 vs. Q1","6.23 (3.78, 7.79)","12.44 (11.70, 13.26)","=""0.15""","1.33 (0.97, 1.83)","1.78 (1.33, 2.38)","=""0.18""","17.34 (14.88, 21.38)","7.85 (6.39, 9.20)","=""0.13""","2.23 (1.21, 4.11)","1.44 (1.12, 1.85)","=""0.19""","9.08 (6.53, 11.37)","7.57 (6.53, 8.45)","=""0.77""","1.43 (0.97, 2.12)","1.44 (1.12, 1.85)","=""0.98"""
"Personal","Sedentary time Q2 vs. Q1","5.62 (3.22, 7.08)","1.34 (0.69, 2.96)","=""0.28""","1.35 (0.98, 1.85)","1.06 (0.83, 1.36)","=""0.23""",NA,"4.02 (2.32, 5.96)","=""NA""","0.80 (0.53, 1.23)","1.22 (0.96, 1.56)","=""0.09""","3.41 (1.29, 4.49)","3.42 (1.51, 5.27)","=""1.00""","1.20 (0.83, 1.71)","1.18 (0.92, 1.51)","=""0.94"""
"Personal","Sedentary time Q3 vs. Q1","7.11 (5.59, 9.62)","4.72 (3.50, 6.06)","=""0.59""","1.33 (1.00, 1.77)","1.22 (0.96, 1.55)","=""0.65""",NA,"6.55 (5.81, 8.96)","=""NA""","0.75 (0.49, 1.16)","1.30 (1.05, 1.62)","=""0.03""","10.43 (6.92, 13.25)","3.38 (1.85, 5.78)","=""0.19""","1.52 (1.03, 2.24)","1.15 (0.90, 1.46)","=""0.21"""
"Personal","Sedentary time Q4 vs. Q1","9.66 (7.18, 12.10)","5.57 (4.33, 6.84)","=""0.44""","1.34 (1.01, 1.79)","1.24 (0.98, 1.56)","=""0.66""",NA,"8.19 (7.30, 9.64)","=""NA""","0.60 (0.38, 0.95)","1.32 (1.10, 1.59)","=""0.00""","9.63 (7.08, 13.05)","5.57 (2.13, 8.65)","=""0.53""","1.38 (0.95, 2.00)","1.20 (0.92, 1.56)","=""0.54"""
"Personal","Physical activity time Q1 vs, Q4","4.93 (3.19, 6.18)","10.82 (9.50, 12.93)","=""0.16""","1.25 (1.00, 1.55)","1.47 (1.14, 1.91)","=""0.33""","8.48 (6.38, 11.10)","6.49 (6.10, 6.98)","=""0.75""","1.31 (0.89, 1.93)","1.32 (1.12, 1.54)","=""0.98""","3.88 (2.56, 4.95)","8.32 (7.67, 8.71)","=""0.27""","1.17 (0.89, 1.55)","1.39 (1.17, 1.65)","=""0.30"""
"Personal","Physical activity time Q2 vs. Q4","2.71 (1.72, 3.61)","2.54 (1.07, 4.42)","=""0.96""","1.13 (0.92, 1.38)","1.12 (0.85, 1.48)","=""0.98""","3.35 (1.43, 5.72)","2.67 (1.99, 3.48)","=""0.89""","1.17 (0.75, 1.82)","1.13 (0.95, 1.33)","=""0.87""","1.96 (0.00, 3.24)","2.73 (1.57, 3.79)","=""0.85""","1.08 (0.79, 1.46)","1.13 (0.93, 1.38)","=""0.78"""
"Personal","Physical activity time Q3 vs. Q4","0.17 (0.00, 0.85)","2.58 (1.27, 4.85)","=""0.53""","0.97 (0.79, 1.19)","1.13 (0.84, 1.52)","=""0.39""",NA,"1.73 (0.15, 3.16)","=""NA""","0.78 (0.47, 1.29)","1.08 (0.88, 1.31)","=""0.23""","1.23 (0.00, 2.53)","0.54 (0.00, 1.35)","=""0.86""","1.05 (0.78, 1.40)","1.02 (0.83, 1.24)","=""0.86"""
"Socioeconomic","Paternal education high school and below vs. graduate school","5.96 (5.41, 6.84)","7.45 (6.48, 8.50)","=""0.63""","1.42 (1.14, 1.76)","1.51 (1.15, 2.00)","=""0.72""","9.95 (8.38, 11.58)","5.97 (5.23, 6.58)","=""0.36""","1.77 (1.13, 2.77)","1.41 (1.16, 1.71)","=""0.36""","0.64 (0.00, 2.85)","7.34 (6.60, 8.27)","=""0.09""","0.95 (0.58, 1.56)","1.53 (1.25, 1.89)","=""0.06"""
