analysis,Parm,mod,group,RR,UCI,LCI,Probt,exposure,cases,total,
unadjusted,chchwestq1,ch,life,1.054,1.392,0.799,0.707,Western Diet Q2 vs. Q1,427,5828,"1.05 (0.8, 1.39)"
unadjusted,chchwestq2,ch,life,1.104,1.534,0.794,0.551,Western Diet Q3 vs. Q1,427,5828,"1.1 (0.79, 1.53)"
unadjusted,chchwestq3,ch,life,1.402,1.981,0.992,0.055,Western Diet Q4 vs. Q1,427,5828,"1.4 (0.99, 1.98)"
unadjusted,chchstq1,ch,life,0.926,1.252,0.685,0.611,Sedentary time Q2 vs. Q1,427,5828,"0.93 (0.69, 1.25)"
unadjusted,chchstq2,ch,life,1.108,1.421,0.864,0.419,Sedentary time Q3 vs. Q1,427,5828,"1.11 (0.86, 1.42)"
unadjusted,chchstq3,ch,life,1.133,1.467,0.874,0.343,Sedentary time Q4 vs. Q1,427,5828,"1.13 (0.87, 1.47)"
unadjusted,chchpaq0,ch,life,1.067,1.358,0.837,0.6,Physical activity Q1 vs. Q4,427,5828,"1.07 (0.84, 1.36)"
unadjusted,chchpaq1,ch,life,0.936,1.205,0.727,0.604,Physical activity Q2 vs. Q4,427,5828,"0.94 (0.73, 1.21)"
unadjusted,chchpaq2,ch,life,0.897,1.208,0.666,0.465,Physical activity Q3 vs. Q4,427,5828,"0.9 (0.67, 1.21)"
unadjusted,chwestv_chm,ch,life,1.194,1.428,0.999,0.052,Western Diet (trend),427,5828,"1.19 (1, 1.43)"
unadjusted,chstv_chm,ch,life,1.005,1.011,0.998,0.161,Sedentary time (trend),427,5828,"1.01 (1, 1.01)"
unadjusted,chpav_chm,ch,life,0.997,1.01,0.985,0.663,Physical activity (trend),427,5828,"1 (0.99, 1.01)"
unadjusted,adolchwestq1,adol,life,0.873,1.119,0.682,0.284,Western Diet Q2 vs. Q1,427,5828,"0.87 (0.68, 1.12)"
unadjusted,adolchwestq2,adol,life,1.014,1.323,0.777,0.918,Western Diet Q3 vs. Q1,427,5828,"1.01 (0.78, 1.32)"
unadjusted,adolchwestq3,adol,life,0.899,1.286,0.628,0.561,Western Diet Q4 vs. Q1,427,5828,"0.9 (0.63, 1.29)"
unadjusted,adolchstq1,adol,life,1.382,1.844,1.036,0.028,Sedentary time Q2 vs. Q1,427,5828,"1.38 (1.04, 1.84)"
unadjusted,adolchstq2,adol,life,1.533,2.078,1.13,0.006,Sedentary time Q3 vs. Q1,427,5828,"1.53 (1.13, 2.08)"
unadjusted,adolchstq3,adol,life,2.3,3.068,1.724,0,Sedentary time Q4 vs. Q1,427,5828,"2.3 (1.72, 3.07)"
unadjusted,adolchpaq0,adol,life,0.816,1.088,0.612,0.163,Physical activity Q1 vs. Q4,427,5828,"0.82 (0.61, 1.09)"
unadjusted,adolchpaq1,adol,life,0.807,1.063,0.612,0.126,Physical activity Q2 vs. Q4,427,5828,"0.81 (0.61, 1.06)"
unadjusted,adolchpaq2,adol,life,0.755,1.025,0.557,0.071,Physical activity Q3 vs. Q4,427,5828,"0.76 (0.56, 1.03)"
unadjusted,chwestv_adolm,adol,life,0.969,1.195,0.787,0.771,Western Diet (trend),427,5828,"0.97 (0.79, 1.2)"
unadjusted,chstv_adolm,adol,life,1.026,1.034,1.017,0,Sedentary time (trend),427,5828,"1.03 (1.02, 1.03)"
unadjusted,chpav_adolm,adol,life,1.01,1.026,0.993,0.243,Physical activity (trend),427,5828,"1.01 (0.99, 1.03)"
adjusted,chchwestq1,ch,life,1.054,1.392,0.799,0.707,Western Diet Q2 vs. Q1,427,5828,"1.05 (0.8, 1.39)"
adjusted,chchwestq2,ch,life,1.104,1.534,0.794,0.551,Western Diet Q3 vs. Q1,427,5828,"1.1 (0.79, 1.53)"
adjusted,chchwestq3,ch,life,1.402,1.981,0.992,0.055,Western Diet Q4 vs. Q1,427,5828,"1.4 (0.99, 1.98)"
adjusted,chchstq1,ch,life,0.926,1.252,0.685,0.611,Sedentary time Q2 vs. Q1,427,5828,"0.93 (0.69, 1.25)"
adjusted,chchstq2,ch,life,1.108,1.421,0.864,0.419,Sedentary time Q3 vs. Q1,427,5828,"1.11 (0.86, 1.42)"
adjusted,chchstq3,ch,life,1.133,1.467,0.874,0.343,Sedentary time Q4 vs. Q1,427,5828,"1.13 (0.87, 1.47)"
adjusted,chchpaq0,ch,life,1.067,1.358,0.837,0.6,Physical activity Q1 vs. Q4,427,5828,"1.07 (0.84, 1.36)"
adjusted,chchpaq1,ch,life,0.936,1.205,0.727,0.604,Physical activity Q2 vs. Q4,427,5828,"0.94 (0.73, 1.21)"
adjusted,chchpaq2,ch,life,0.897,1.208,0.666,0.465,Physical activity Q3 vs. Q4,427,5828,"0.9 (0.67, 1.21)"
adjusted,chwestv_chm,ch,life,1.194,1.428,0.999,0.052,Western Diet (trend),427,5828,"1.19 (1, 1.43)"
adjusted,chstv_chm,ch,life,1.005,1.011,0.998,0.161,Sedentary time (trend),427,5828,"1.01 (1, 1.01)"
adjusted,chpav_chm,ch,life,0.997,1.01,0.985,0.663,Physical activity (trend),427,5828,"1 (0.99, 1.01)"
adjusted,adolchwestq1,adol,life,0.88,1.126,0.688,0.309,Western Diet Q2 vs. Q1,427,5828,"0.88 (0.69, 1.13)"
