analysis,Parm,mod,group,RR,UCI,LCI,Probt,exposure,cases,total
unadjusted,chchwestq1,ch,life,1.003,1.616,0.623,0.99,Western Diet Q2 vs. Q1,180,2231
unadjusted,chchwestq2,ch,life,0.996,2.109,0.47,0.991,Western Diet Q3 vs. Q1,180,2231
unadjusted,chchwestq3,ch,life,1.156,2.233,0.598,0.658,Western Diet Q4 vs. Q1,180,2231
unadjusted,chchstq1,ch,life,0.823,1.27,0.534,0.377,Sedentary time Q2 vs. Q1,180,2231
unadjusted,chchstq2,ch,life,1.009,1.779,0.572,0.973,Sedentary time Q3 vs. Q1,180,2231
unadjusted,chchstq3,ch,life,1.12,1.801,0.696,0.629,Sedentary time Q4 vs. Q1,180,2231
unadjusted,chchpaq0,ch,life,1.182,1.995,0.701,0.512,Physical activity Q1 vs. Q4,180,2231
unadjusted,chchpaq1,ch,life,1.101,1.796,0.675,0.689,Physical activity Q2 vs. Q4,180,2231
unadjusted,chchpaq2,ch,life,0.94,1.768,0.5,0.837,Physical activity Q3 vs. Q4,180,2231
unadjusted,chwestv_chm,ch,life,1.067,1.49,0.765,0.694,Western Diet (trend),180,2231
unadjusted,chstv_chm,ch,life,1.005,1.017,0.994,0.354,Sedentary time (trend),180,2231
unadjusted,chpav_chm,ch,life,0.99,1.015,0.967,0.419,Physical activity (trend),180,2231
unadjusted,adolchwestq1,adol,life,1.348,2.28,0.797,0.251,Western Diet Q2 vs. Q1,180,2231
unadjusted,adolchwestq2,adol,life,1.181,2.008,0.695,0.53,Western Diet Q3 vs. Q1,180,2231
unadjusted,adolchwestq3,adol,life,1.393,2.34,0.83,0.205,Western Diet Q4 vs. Q1,180,2231
unadjusted,adolchstq1,adol,life,1.043,1.913,0.569,0.887,Sedentary time Q2 vs. Q1,180,2231
unadjusted,adolchstq2,adol,life,1.534,2.501,0.941,0.084,Sedentary time Q3 vs. Q1,180,2231
unadjusted,adolchstq3,adol,life,1.857,2.931,1.176,0.009,Sedentary time Q4 vs. Q1,180,2231
unadjusted,adolchpaq0,adol,life,0.884,1.836,0.426,0.71,Physical activity Q1 vs. Q4,180,2231
unadjusted,adolchpaq1,adol,life,0.691,1.234,0.387,0.201,Physical activity Q2 vs. Q4,180,2231
unadjusted,adolchpaq2,adol,life,0.87,1.789,0.423,0.676,Physical activity Q3 vs. Q4,180,2231
unadjusted,chwestv_adolm,adol,life,1.154,1.543,0.863,0.325,Western Diet (trend),180,2231
unadjusted,chstv_adolm,adol,life,1.019,1.029,1.009,0,Sedentary time (trend),180,2231
unadjusted,chpav_adolm,adol,life,1.007,1.04,0.975,0.648,Physical activity (trend),180,2231
adjusted,chchwestq1,ch,life,1.003,1.616,0.623,0.99,Western Diet Q2 vs. Q1,180,2231
adjusted,chchwestq2,ch,life,0.996,2.109,0.47,0.991,Western Diet Q3 vs. Q1,180,2231
adjusted,chchwestq3,ch,life,1.156,2.233,0.598,0.658,Western Diet Q4 vs. Q1,180,2231
adjusted,chchstq1,ch,life,0.823,1.27,0.534,0.377,Sedentary time Q2 vs. Q1,180,2231
adjusted,chchstq2,ch,life,1.009,1.779,0.572,0.973,Sedentary time Q3 vs. Q1,180,2231
adjusted,chchstq3,ch,life,1.12,1.801,0.696,0.629,Sedentary time Q4 vs. Q1,180,2231
adjusted,chchpaq0,ch,life,1.182,1.995,0.701,0.512,Physical activity Q1 vs. Q4,180,2231
adjusted,chchpaq1,ch,life,1.101,1.796,0.675,0.689,Physical activity Q2 vs. Q4,180,2231
adjusted,chchpaq2,ch,life,0.94,1.768,0.5,0.837,Physical activity Q3 vs. Q4,180,2231
adjusted,chwestv_chm,ch,life,1.067,1.49,0.765,0.694,Western Diet (trend),180,2231
adjusted,chstv_chm,ch,life,1.005,1.017,0.994,0.354,Sedentary time (trend),180,2231
adjusted,chpav_chm,ch,life,0.99,1.015,0.967,0.419,Physical activity (trend),180,2231
adjusted,adolchwestq1,adol,life,1.354,2.33,0.786,0.257,Western Diet Q2 vs. Q1,180,2231
adjusted,adolchwestq2,adol,life,1.172,2.014,0.682,0.554,Western Diet Q3 vs. Q1,180,2231
adjusted,adolchwestq3,adol,life,1.373,2.258,0.835,0.208,Western Diet Q4 vs. Q1,180,2231
adjusted,adolchstq1,adol,life,1.02,1.857,0.561,0.945,Sedentary time Q2 vs. Q1,180,2231
adjusted,adolchstq2,adol,life,1.495,2.461,0.908,0.11,Sedentary time Q3 vs. Q1,180,2231
adjusted,adolchstq3,adol,life,1.768,2.825,1.107,0.018,Sedentary time Q4 vs. Q1,180,2231
adjusted,adolchpaq0,adol,life,0.89,1.734,0.456,0.712,Physical activity Q1 vs. Q4,180,2231
adjusted,adolchpaq1,adol,life,0.687,1.216,0.389,0.19,Physical activity Q2 vs. Q4,180,2231
adjusted,adolchpaq2,adol,life,0.854,1.729,0.421,0.631,Physical activity Q3 vs. Q4,180,2231
adjusted,chwestv_adolm,adol,life,1.139,1.502,0.864,0.347,Western Diet (trend),180,2231
adjusted,chstv_adolm,adol,life,1.018,1.029,1.007,0.001,Sedentary time (trend),180,2231
adjusted,chpav_adolm,adol,life,1.006,1.038,0.976,0.672,Physical activity (trend),180,2231
unadjusted,pregmowestq1,preg,mom,1.191,2.273,0.624,0.594,Maternal Western Diet Q2 vs. Q1,125,2018
unadjusted,pregmowestq2,preg,mom,1.283,2.529,0.651,0.47,Maternal Western Diet Q3 vs. Q1,125,2018
unadjusted,pregmowestq3,preg,mom,1.034,2.69,0.397,0.944,Maternal Western Diet Q4 vs. Q1,125,2018
unadjusted,pregmopaq0,preg,mom,1.727,3.297,0.905,0.095,Maternal physical activity Q1 vs. Q4,125,2018
unadjusted,pregmopaq1,preg,mom,1.398,2.875,0.68,0.351,Maternal physical activity Q2 vs. Q4,125,2018
unadjusted,pregmopaq2,preg,mom,1.2,2.325,0.62,0.582,Maternal physical activity Q3 vs. Q4,125,2018
unadjusted,mosmkv_preg,preg,mom,1.134,2.156,0.597,0.678,Maternal smoking Ever vs. Never,125,2018
unadjusted,moshiftb_preg,preg,mom,1.298,2.135,0.79,0.294,Maternal Shiftwork Some vs. None,125,2018
unadjusted,earlychmowestq1,earlych,mom,1.187,2.228,0.633,0.59,Maternal Western Diet Q2 vs. Q1,125,2018
unadjusted,earlychmowestq2,earlych,mom,1.329,2.637,0.67,0.416,Maternal Western Diet Q3 vs. Q1,125,2018
unadjusted,earlychmowestq3,earlych,mom,1.466,3.676,0.584,0.407,Maternal Western Diet Q4 vs. Q1,125,2018
unadjusted,earlychmopaq0,earlych,mom,1.454,2.696,0.784,0.231,Maternal physical activity Q1 vs. Q4,125,2018
