analysis,Parm,mod,group,RR,UCI,LCI,exposure
unadjusted,chchwestq1,ch,life,1,1.62,0.62,Western Diet Q2 vs. Q1
unadjusted,chchwestq2,ch,life,1,2.11,0.47,Western Diet Q3 vs. Q1
unadjusted,chchwestq3,ch,life,1.16,2.23,0.6,Western Diet Q4 vs. Q1
unadjusted,chchstq1,ch,life,0.82,1.27,0.53,Sedentary time Q2 vs. Q1
unadjusted,chchstq2,ch,life,1.01,1.78,0.57,Sedentary time Q3 vs. Q1
unadjusted,chchstq3,ch,life,1.12,1.8,0.7,Sedentary time Q4 vs. Q1
unadjusted,chchpaq0,ch,life,1.18,1.99,0.7,Physical activity Q1 vs. Q4
unadjusted,chchpaq1,ch,life,1.1,1.8,0.68,Physical activity Q2 vs. Q4
unadjusted,chchpaq2,ch,life,0.94,1.77,0.5,Physical activity Q3 vs. Q4
unadjusted,adolchwestq1,adol,life,1.35,2.28,0.8,Western Diet Q2 vs. Q1
unadjusted,adolchwestq2,adol,life,1.18,2.01,0.69,Western Diet Q3 vs. Q1
unadjusted,adolchwestq3,adol,life,1.39,2.34,0.83,Western Diet Q4 vs. Q1
unadjusted,adolchstq1,adol,life,1.04,1.91,0.57,Sedentary time Q2 vs. Q1
unadjusted,adolchstq2,adol,life,1.53,2.5,0.94,Sedentary time Q3 vs. Q1
unadjusted,adolchstq3,adol,life,1.86,2.93,1.18,Sedentary time Q4 vs. Q1
unadjusted,adolchpaq0,adol,life,0.88,1.84,0.43,Physical activity Q1 vs. Q4
unadjusted,adolchpaq1,adol,life,0.69,1.23,0.39,Physical activity Q2 vs. Q4
unadjusted,adolchpaq2,adol,life,0.87,1.79,0.42,Physical activity Q3 vs. Q4
adjusted,chchwestq1,ch,life,1,1.62,0.62,Western Diet Q2 vs. Q1
adjusted,chchwestq2,ch,life,1,2.11,0.47,Western Diet Q3 vs. Q1
adjusted,chchwestq3,ch,life,1.16,2.23,0.6,Western Diet Q4 vs. Q1
adjusted,chchstq1,ch,life,0.82,1.27,0.53,Sedentary time Q2 vs. Q1
adjusted,chchstq2,ch,life,1.01,1.78,0.57,Sedentary time Q3 vs. Q1
adjusted,chchstq3,ch,life,1.12,1.8,0.7,Sedentary time Q4 vs. Q1
adjusted,chchpaq0,ch,life,1.18,1.99,0.7,Physical activity Q1 vs. Q4
adjusted,chchpaq1,ch,life,1.1,1.8,0.68,Physical activity Q2 vs. Q4
adjusted,chchpaq2,ch,life,0.94,1.77,0.5,Physical activity Q3 vs. Q4
adjusted,adolchwestq1,adol,life,1.35,2.33,0.79,Western Diet Q2 vs. Q1
adjusted,adolchwestq2,adol,life,1.17,2.01,0.68,Western Diet Q3 vs. Q1
adjusted,adolchwestq3,adol,life,1.37,2.26,0.83,Western Diet Q4 vs. Q1
adjusted,adolchstq1,adol,life,1.02,1.86,0.56,Sedentary time Q2 vs. Q1
adjusted,adolchstq2,adol,life,1.49,2.46,0.91,Sedentary time Q3 vs. Q1
adjusted,adolchstq3,adol,life,1.77,2.82,1.11,Sedentary time Q4 vs. Q1
adjusted,adolchpaq0,adol,life,0.89,1.73,0.46,Physical activity Q1 vs. Q4
adjusted,adolchpaq1,adol,life,0.69,1.22,0.39,Physical activity Q2 vs. Q4
adjusted,adolchpaq2,adol,life,0.85,1.73,0.42,Physical activity Q3 vs. Q4
unadjusted,pregmowestq1,preg,mom,1.19,2.27,0.62,Maternal Western Diet Q2 vs. Q1
unadjusted,pregmowestq2,preg,mom,1.28,2.53,0.65,Maternal Western Diet Q3 vs. Q1
unadjusted,pregmowestq3,preg,mom,1.03,2.69,0.4,Maternal Western Diet Q4 vs. Q1
unadjusted,pregmopaq0,preg,mom,1.73,3.3,0.91,Maternal physical activity Q1 vs. Q4
unadjusted,pregmopaq1,preg,mom,1.4,2.88,0.68,Maternal physical activity Q2 vs. Q4
unadjusted,pregmopaq2,preg,mom,1.2,2.33,0.62,Maternal physical activity Q3 vs. Q4
unadjusted,mosmkv_preg,preg,mom,1.13,2.16,0.6,Maternal smoking Ever vs. Never
unadjusted,moshiftb_preg,preg,mom,1.3,2.13,0.79,Maternal Shiftwork Some vs. None
unadjusted,earlychmowestq1,earlych,mom,1.19,2.23,0.63,Maternal Western Diet Q2 vs. Q1
unadjusted,earlychmowestq2,earlych,mom,1.33,2.64,0.67,Maternal Western Diet Q3 vs. Q1
unadjusted,earlychmowestq3,earlych,mom,1.47,3.68,0.58,Maternal Western Diet Q4 vs. Q1
unadjusted,earlychmopaq0,earlych,mom,1.45,2.7,0.78,Maternal physical activity Q1 vs. Q4
unadjusted,earlychmopaq1,earlych,mom,1.34,2.42,0.74,Maternal physical activity Q2 vs. Q4
unadjusted,earlychmopaq2,earlych,mom,1.1,2.01,0.6,Maternal physical activity Q3 vs. Q4
unadjusted,mosmkv_earlych,earlych,mom,1.1,2.1,0.58,Maternal smoking Ever vs. Never
unadjusted,moshiftb_earlych,earlych,mom,1.42,2.1,0.96,Maternal Shiftwork Some vs. None
unadjusted,chmowestq1,ch,mom,1.54,2.83,0.84,Maternal Western Diet Q2 vs. Q1
unadjusted,chmowestq2,ch,mom,1.26,2.83,0.56,Maternal Western Diet Q3 vs. Q1
unadjusted,chmowestq3,ch,mom,1.84,4.43,0.76,Maternal Western Diet Q4 vs. Q1
unadjusted,chmopaq0,ch,mom,1.44,2.75,0.75,Maternal physical activity Q1 vs. Q4
unadjusted,chmopaq1,ch,mom,1.67,3.59,0.78,Maternal physical activity Q2 vs. Q4
unadjusted,chmopaq2,ch,mom,1.24,2.64,0.58,Maternal physical activity Q3 vs. Q4
unadjusted,mosmkv_ch,ch,mom,1.15,2.08,0.63,Maternal smoking Ever vs. Never
unadjusted,moshiftb_ch,ch,mom,1.36,2.03,0.9,Maternal Shiftwork Some vs. None
unadjusted,adolmowestq1,adol,mom,1.11,2.07,0.6,Maternal Western Diet Q2 vs. Q1
unadjusted,adolmowestq2,adol,mom,1.16,2.69,0.5,Maternal Western Diet Q3 vs. Q1
unadjusted,adolmowestq3,adol,mom,1.07,2.47,0.47,Maternal Western Diet Q4 vs. Q1
unadjusted,adolmopaq0,adol,mom,1.8,3.72,0.87,Maternal physical activity Q1 vs. Q4
unadjusted,adolmopaq1,adol,mom,1.76,3.04,1.02,Maternal physical activity Q2 vs. Q4
unadjusted,adolmopaq2,adol,mom,1.21,2.25,0.65,Maternal physical activity Q3 vs. Q4
unadjusted,mosmkv_adol,adol,mom,1.15,2.05,0.65,Maternal smoking Ever vs. Never
unadjusted,moshiftb_adol,adol,mom,1.14,1.93,0.67,Maternal Shiftwork Some vs. None
adjusted,pregmowestq1,preg,mom,1.19,2.27,0.62,Maternal Western Diet Q2 vs. Q1
