analysis,Parm,mod,group,RR,UCI,LCI,exposure
unadjusted,chchwestq1,ch,life,1.09,1.76,0.67,Western Diet Q2 vs. Q1
unadjusted,chchwestq2,ch,life,1.11,2.22,0.56,Western Diet Q3 vs. Q1
unadjusted,chchwestq3,ch,life,1.31,2.66,0.65,Western Diet Q4 vs. Q1
unadjusted,chchstq1,ch,life,0.79,1.57,0.4,Sedentary time Q2 vs. Q1
unadjusted,chchstq2,ch,life,0.8,1.24,0.52,Sedentary time Q3 vs. Q1
unadjusted,chchstq3,ch,life,0.92,1.36,0.62,Sedentary time Q4 vs. Q1
unadjusted,chchpaq0,ch,life,1.18,1.8,0.77,Physical activity Q1 vs. Q4
unadjusted,chchpaq1,ch,life,1.01,1.61,0.64,Physical activity Q2 vs. Q4
unadjusted,chchpaq2,ch,life,0.91,1.5,0.56,Physical activity Q3 vs. Q4
unadjusted,adolchwestq1,adol,life,0.99,1.59,0.61,Western Diet Q2 vs. Q1
unadjusted,adolchwestq2,adol,life,0.92,1.53,0.55,Western Diet Q3 vs. Q1
unadjusted,adolchwestq3,adol,life,1.22,2.18,0.69,Western Diet Q4 vs. Q1
unadjusted,adolchstq1,adol,life,1.16,2.14,0.63,Sedentary time Q2 vs. Q1
unadjusted,adolchstq2,adol,life,1.6,3.1,0.83,Sedentary time Q3 vs. Q1
unadjusted,adolchstq3,adol,life,1.86,3.19,1.08,Sedentary time Q4 vs. Q1
unadjusted,adolchpaq0,adol,life,0.96,1.43,0.64,Physical activity Q1 vs. Q4
unadjusted,adolchpaq1,adol,life,0.75,1.17,0.48,Physical activity Q2 vs. Q4
unadjusted,adolchpaq2,adol,life,0.78,1.27,0.48,Physical activity Q3 vs. Q4
adjusted,chchwestq1,ch,life,1.09,1.76,0.67,Western Diet Q2 vs. Q1
adjusted,chchwestq2,ch,life,1.11,2.22,0.56,Western Diet Q3 vs. Q1
adjusted,chchwestq3,ch,life,1.31,2.66,0.65,Western Diet Q4 vs. Q1
adjusted,chchstq1,ch,life,0.79,1.57,0.4,Sedentary time Q2 vs. Q1
adjusted,chchstq2,ch,life,0.8,1.24,0.52,Sedentary time Q3 vs. Q1
adjusted,chchstq3,ch,life,0.92,1.36,0.62,Sedentary time Q4 vs. Q1
adjusted,chchpaq0,ch,life,1.18,1.8,0.77,Physical activity Q1 vs. Q4
adjusted,chchpaq1,ch,life,1.01,1.61,0.64,Physical activity Q2 vs. Q4
adjusted,chchpaq2,ch,life,0.91,1.5,0.56,Physical activity Q3 vs. Q4
adjusted,adolchwestq1,adol,life,0.96,1.55,0.6,Western Diet Q2 vs. Q1
adjusted,adolchwestq2,adol,life,0.88,1.46,0.53,Western Diet Q3 vs. Q1
adjusted,adolchwestq3,adol,life,1.17,2.09,0.66,Western Diet Q4 vs. Q1
adjusted,adolchstq1,adol,life,1.19,2.28,0.62,Sedentary time Q2 vs. Q1
adjusted,adolchstq2,adol,life,1.64,3.3,0.81,Sedentary time Q3 vs. Q1
adjusted,adolchstq3,adol,life,1.92,3.48,1.06,Sedentary time Q4 vs. Q1
adjusted,adolchpaq0,adol,life,0.98,1.51,0.64,Physical activity Q1 vs. Q4
adjusted,adolchpaq1,adol,life,0.77,1.21,0.49,Physical activity Q2 vs. Q4
adjusted,adolchpaq2,adol,life,0.8,1.31,0.49,Physical activity Q3 vs. Q4
unadjusted,pregmowestq1,preg,mom,1.23,2.52,0.6,Maternal Western Diet Q2 vs. Q1
unadjusted,pregmowestq2,preg,mom,1.12,2.24,0.56,Maternal Western Diet Q3 vs. Q1
unadjusted,pregmowestq3,preg,mom,0.94,2.15,0.41,Maternal Western Diet Q4 vs. Q1
unadjusted,pregmopaq0,preg,mom,1.75,3.49,0.88,Maternal physical activity Q1 vs. Q4
unadjusted,pregmopaq1,preg,mom,1.33,2.67,0.66,Maternal physical activity Q2 vs. Q4
unadjusted,pregmopaq2,preg,mom,1.01,2.33,0.43,Maternal physical activity Q3 vs. Q4
unadjusted,mosmkv_preg,preg,mom,1.09,1.76,0.68,Maternal smoking Ever vs. Never
unadjusted,moshiftb_preg,preg,mom,1.12,1.87,0.67,Maternal Shiftwork Some vs. None
unadjusted,earlychmowestq1,earlych,mom,1.17,2.25,0.61,Maternal Western Diet Q2 vs. Q1
unadjusted,earlychmowestq2,earlych,mom,1.15,2.6,0.51,Maternal Western Diet Q3 vs. Q1
unadjusted,earlychmowestq3,earlych,mom,1.18,2.96,0.47,Maternal Western Diet Q4 vs. Q1
unadjusted,earlychmopaq0,earlych,mom,1.47,2.58,0.83,Maternal physical activity Q1 vs. Q4
unadjusted,earlychmopaq1,earlych,mom,1.3,2.34,0.72,Maternal physical activity Q2 vs. Q4
unadjusted,earlychmopaq2,earlych,mom,0.97,1.87,0.5,Maternal physical activity Q3 vs. Q4
unadjusted,mosmkv_earlych,earlych,mom,1.06,1.7,0.66,Maternal smoking Ever vs. Never
unadjusted,moshiftb_earlych,earlych,mom,1.38,2.35,0.82,Maternal Shiftwork Some vs. None
unadjusted,chmowestq1,ch,mom,1.84,4.12,0.82,Maternal Western Diet Q2 vs. Q1
unadjusted,chmowestq2,ch,mom,1.31,3.17,0.54,Maternal Western Diet Q3 vs. Q1
unadjusted,chmowestq3,ch,mom,1.75,4.34,0.71,Maternal Western Diet Q4 vs. Q1
unadjusted,chmopaq0,ch,mom,1.54,2.85,0.83,Maternal physical activity Q1 vs. Q4
unadjusted,chmopaq1,ch,mom,1.57,2.77,0.89,Maternal physical activity Q2 vs. Q4
unadjusted,chmopaq2,ch,mom,1.4,2.54,0.77,Maternal physical activity Q3 vs. Q4
unadjusted,mosmkv_ch,ch,mom,1.05,1.68,0.66,Maternal smoking Ever vs. Never
unadjusted,moshiftb_ch,ch,mom,1.32,2.02,0.86,Maternal Shiftwork Some vs. None
unadjusted,adolmowestq1,adol,mom,1.24,2.19,0.7,Maternal Western Diet Q2 vs. Q1
unadjusted,adolmowestq2,adol,mom,1.18,2.25,0.62,Maternal Western Diet Q3 vs. Q1
unadjusted,adolmowestq3,adol,mom,1.07,2.33,0.49,Maternal Western Diet Q4 vs. Q1
unadjusted,adolmopaq0,adol,mom,2,4.28,0.93,Maternal physical activity Q1 vs. Q4
unadjusted,adolmopaq1,adol,mom,1.86,3.55,0.98,Maternal physical activity Q2 vs. Q4
unadjusted,adolmopaq2,adol,mom,1.48,2.73,0.8,Maternal physical activity Q3 vs. Q4
unadjusted,mosmkv_adol,adol,mom,1.08,1.72,0.68,Maternal smoking Ever vs. Never
unadjusted,moshiftb_adol,adol,mom,0.92,1.49,0.57,Maternal Shiftwork Some vs. None
adjusted,pregmowestq1,preg,mom,1.23,2.52,0.6,Maternal Western Diet Q2 vs. Q1
adjusted,pregmowestq2,preg,mom,1.12,2.24,0.56,Maternal Western Diet Q3 vs. Q1
adjusted,pregmowestq3,preg,mom,0.94,2.15,0.41,Maternal Western Diet Q4 vs. Q1
adjusted,pregmopaq0,preg,mom,1.75,3.49,0.88,Maternal physical activity Q1 vs. Q4
adjusted,pregmopaq1,preg,mom,1.33,2.67,0.66,Maternal physical activity Q2 vs. Q4
adjusted,pregmopaq2,preg,mom,1.01,2.33,0.43,Maternal physical activity Q3 vs. Q4
adjusted,mosmkv_preg,preg,mom,1.09,1.76,0.68,Maternal smoking Ever vs. Never
adjusted,moshiftb_preg,preg,mom,1.12,1.87,0.67,Maternal Shiftwork Some vs. None
adjusted,earlychmowestq1,earlych,mom,1.12,2.3,0.55,Maternal Western Diet Q2 vs. Q1
adjusted,earlychmowestq2,earlych,mom,1.08,2.72,0.43,Maternal Western Diet Q3 vs. Q1
adjusted,earlychmowestq3,earlych,mom,1.05,3.36,0.33,Maternal Western Diet Q4 vs. Q1
adjusted,earlychmopaq0,earlych,mom,1.8,3.75,0.86,Maternal physical activity Q1 vs. Q4
adjusted,earlychmopaq1,earlych,mom,1.56,3.24,0.75,Maternal physical activity Q2 vs. Q4
adjusted,earlychmopaq2,earlych,mom,1.11,2.24,0.55,Maternal physical activity Q3 vs. Q4
