Parm,Estimate,Stderr,LowerCL,UpperCL,Z,ProbZ,Level1,mod,RR,LCI,UCI
Intercept,-6.5942,0.5150,-7.6036,-5.5848,-12.80,<.0001,,mom,0.0013682826,0.0004986412,0.0037545977
mowestq1,-0.0035,0.1352,-0.2684,0.2614,-0.03,0.9793,,mom,0.9964979858,0.7645749263,1.2987716462
mowestq2,0.0008,0.1520,-0.2971,0.2987,0.01,0.9959,,mom,1.0007876844,0.742938093,1.3481284628
mowestq3,0.3287,0.1636,0.0080,0.6493,2.01,0.0445,,mom,1.3891200222,1.0080618176,1.9142223249
mocalq1,0.1129,0.1323,-0.1463,0.3722,0.85,0.3933,,mom,1.1195398173,0.8638711,1.4508754865
mocalq2,-0.1679,0.1506,-0.4631,0.1274,-1.11,0.2652,,mom,0.8454757352,0.6293261876,1.1358644101
mocalq3,-0.1984,0.1669,-0.5255,0.1286,-1.19,0.2344,,mom,0.8200342753,0.5912855157,1.137278345
mopaq0,0.3662,0.1340,0.1036,0.6287,2.73,0.0063,,mom,1.4422194236,1.1091865442,1.8752453106
mopaq1,0.3268,0.1330,0.0662,0.5875,2.46,0.0140,,mom,1.3865611065,1.0684417588,1.799397755
mopaq2,0.2596,0.1338,-0.0027,0.5218,1.94,0.0524,,mom,1.2964020849,0.9973477456,1.6851277531
mosmk2,0.2016,0.1020,0.0016,0.4016,1.98,0.0482,,mom,1.2233804329,1.001625454,1.4942308799
mosmk3,0.2505,0.1859,-0.1138,0.6149,1.35,0.1778,,mom,1.2847313248,0.8923940817,1.8495579599
moshiftq1,0.2750,0.1253,0.0294,0.5206,2.19,0.0282,,mom,1.3164941866,1.029806186,1.6829933312
moshiftq2,0.2209,0.1262,-0.0265,0.4683,1.75,0.0801,,mom,1.2472407848,0.973883445,1.5973262336
moshiftq3,0.2965,0.1254,0.0507,0.5422,2.36,0.0180,,mom,1.3451016886,1.0520587118,1.7197695645
moage,-0.0084,0.0121,-0.0321,0.0153,-0.70,0.4864,,mom,0.9916109731,0.9683638727,1.0154161567
cohort,0.1130,0.1008,-0.0845,0.3106,1.12,0.2622,,mom,1.1196578692,0.9189274598,1.3642358063
chage,0.1489,0.0213,0.1071,0.1908,6.98,<.0001,,mom,1.1606142098,1.1130933763,1.2101638304
white,-0.1314,0.1925,-0.5087,0.2459,-0.68,0.4950,,mom,0.8768893865,0.6012824405,1.2788249654
sex,-0.4828,0.0891,-0.6575,-0.3081,-5.42,<.0001,,mom,0.6170685073,0.5181629717,0.7348528619
Intercept,-5.7740,0.5447,-6.8416,-4.7065,-10.60,<.0001,,mom,0.0031072701,0.0010684323,0.0090367238
mowest_m,0.1582,0.0846,-0.0077,0.3240,1.87,0.0616,,mom,1.1713635725,0.9923185721,1.3827138357
mocal_m,-0.0002,0.0001,-0.0004,0.0001,-1.36,0.1741,,mom,0.9998192689,0.9995587236,1.0000798821
mopa_m,-0.0109,0.0037,-0.0182,-0.0036,-2.92,0.0035,,mom,0.9891513985,0.9819445989,0.9964110911
mosmk2,0.2117,0.1018,0.0121,0.4112,2.08,0.0376,,mom,1.2357155725,1.0121694985,1.508633661
mosmk3,0.2542,0.1858,-0.1100,0.6184,1.37,0.1714,,mom,1.2894194044,0.8957979849,1.8560014963
moshift_m,0.0145,0.0076,-0.0003,0.0293,1.92,0.0543,,mom,1.014646196,0.9997321361,1.0297827447
moage,-0.0083,0.0121,-0.0320,0.0154,-0.69,0.4925,,mom,0.9917436114,0.9685393245,1.015503827
cohort,0.1783,0.1033,-0.0241,0.3808,1.73,0.0842,,mom,1.1952329729,0.976192433,1.4634223859
chage,0.1515,0.0213,0.1097,0.1933,7.10,<.0001,,mom,1.1635703872,1.1159142698,1.2132617018
white,-0.1160,0.1925,-0.4932,0.2613,-0.60,0.5468,,mom,0.8904944709,0.6106434718,1.2985980188
sex,-0.4834,0.0889,-0.6577,-0.3091,-5.43,<.0001,,mom,0.616695802,0.5180384346,0.7341418838
Intercept,-6.3983,0.5134,-7.4045,-5.3920,-12.46,<.0001,,mom,0.0016644171,0.0006084993,0.0045526501
mowestq1,-0.0342,0.1352,-0.2991,0.2308,-0.25,0.8005,,mom,0.966423001,0.7414913794,1.2595876944
mowestq2,-0.0864,0.1504,-0.3811,0.2083,-0.57,0.5657,,mom,0.9172519332,0.6831177353,1.2316341174
mowestq3,0.1510,0.1657,-0.1737,0.4757,0.91,0.3621,,mom,1.1630002934,0.8405282045,1.6091901201
mocalq1,0.1587,0.1329,-0.1017,0.4191,1.19,0.2323,,mom,1.1719719128,0.9032990678,1.5205574914
mocalq2,-0.1048,0.1508,-0.4003,0.1906,-0.70,0.4868,,mom,0.9004651396,0.6700987537,1.2100268253
mocalq3,-0.1150,0.1673,-0.4430,0.2130,-0.69,0.4920,,mom,0.89139007,0.6421338577,1.2373997218
mopaq0,0.1984,0.1350,-0.0661,0.4630,1.47,0.1415,,mom,1.2195097506,0.9360448791,1.5888170162
mopaq1,0.2251,0.1340,-0.0375,0.4877,1.68,0.0930,,mom,1.2524374897,0.9631628475,1.6285923713
mopaq2,0.2222,0.1335,-0.0395,0.4839,1.66,0.0961,,mom,1.2487672383,0.9612341208,1.6223098844
mosmk2,0.2049,0.1019,0.0052,0.4046,2.01,0.0444,,mom,1.2273444588,1.0051653904,1.4986333941
mosmk3,0.2582,0.1860,-0.1064,0.6228,1.39,0.1652,,mom,1.2945580007,0.8990271844,1.8641042745
moob,1.1942,0.1034,0.9914,1.3969,11.55,<.0001,,mom,3.3007989579,2.6951321268,4.0425750012
moshiftq1,0.2604,0.1250,0.0153,0.5055,2.08,0.0373,,mom,1.2974585473,1.0154416211,1.6577995691
moshiftq2,0.1905,0.1261,-0.0567,0.4377,1.51,0.1308,,mom,1.2099049002,0.9449231294,1.5491946613
moshiftq3,0.2049,0.1262,-0.0425,0.4523,1.62,0.1045,,mom,1.2273839593,0.9583827209,1.5718891323
moage,-0.0121,0.0121,-0.0358,0.0115,-1.01,0.3136,,mom,0.9879243918,0.9648541613,1.0115462452
cohort,0.1336,0.1013,-0.0649,0.3322,1.32,0.1872,,mom,1.1429678,0.9371346849,1.3940102879
chage,0.1432,0.0213,0.1015,0.1849,6.73,<.0001,,mom,1.1539543106,1.1068294302,1.2030856017
white,-0.1427,0.1911,-0.5172,0.2318,-0.75,0.4552,,mom,0.8670283526,0.5961914701,1.2609005696
sex,-0.4865,0.0889,-0.6607,-0.3123,-5.47,<.0001,,mom,0.6147860205,0.5164976275,0.7317784843
Intercept,-6.4369,0.5257,-7.4673,-5.4066,-12.24,<.0001,,mom,0.0016013041,0.0005714935,0.0044867959
mowestq1,-0.0296,0.1354,-0.2949,0.2357,-0.22,0.8270,,mom,0.9708441376,0.7446036229,1.2658256157
mowestq2,-0.0554,0.1524,-0.3541,0.2433,-0.36,0.7163,,mom,0.9461281994,0.7018159484,1.2754890676
mowestq3,0.2159,0.1653,-0.1080,0.5398,1.31,0.1915,,mom,1.2409496507,0.8975888806,1.715658548
mocalq1,0.1393,0.1329,-0.1211,0.3998,1.05,0.2945,,mom,1.1495125861,0.8859015557,1.4915643584
mocalq2,-0.1303,0.1513,-0.4269,0.1663,-0.86,0.3893,,mom,0.8778454859,0.6525294258,1.1809623698
